#consumed-cpu number-of-readers number-of-writers direct-reads direct-reads-mean-error direct-writes direct-writes-mean-error direct-volatile-reads direct-volatile-reads-mean-error direct-volatile-writes direct-volatile-writes-mean-error synchronized-reads synchronized-reads-mean-error synchronized-writes synchronized-writes-mean-error reentrant-read-write-lock-reads reentrant-read-write-lock-reads-mean-error reentrant-read-write-lock-writes reentrant-read-write-lock-writes-mean-error atomic-reads atomic-reads-mean-error atomic-writes atomic-writes-mean-error adder-reads adder-reads-mean-error adder-writes adder-writes-mean-error stamped-reads stamped-reads-mean-error stamped-writes stamped-writes-mean-error
40 1 1 4781,063 293,604 3017,612 254,598 5007,653 297,079 2104,026 103,590 2913,686 284,342 335,537 267,763 1028,335 232,271 989,970 95,955 5125,700 136,617 2861,012 120,919 5700,441 119,555 2164,724 73,853 1559,152 218,434 838,693 37,269 
40 1 2 3621,490 309,285 4096,976 124,349 3962,514 200,108 3516,770 316,597 2415,483 172,722 316,353 135,461 29,112 2,726 735,216 20,002 3969,458 265,634 5155,862 153,465 4133,759 267,509 5209,580 238,153 690,730 119,638 658,057 41,287 
40 1 3 2287,212 90,646 5432,463 183,284 3271,388 101,504 3890,858 96,193 2299,043 262,443 167,917 44,418 19,341 1,107 768,452 15,650 2459,741 213,236 6307,086 179,696 3123,407 110,217 7961,656 193,394 396,365 48,274 332,230 17,024 
40 1 4 2117,908 65,190 5352,364 149,545 2573,974 188,903 4392,021 249,665 2188,449 348,203 177,336 65,438 14,896 0,597 805,208 17,457 2108,682 209,345 6824,525 288,496 2675,810 80,857 10825,476 351,691 255,043 28,947 288,811 17,825 
40 1 5 1783,250 72,934 5498,852 180,319 2045,976 171,575 4615,455 244,948 2185,025 335,824 190,411 86,467 12,241 0,418 844,512 11,404 1486,000 102,953 6918,131 221,971 2386,720 70,228 13414,775 384,091 247,665 22,505 240,994 7,663 
40 1 6 1652,037 79,075 5535,281 122,353 2091,844 177,221 4702,873 143,040 2112,321 323,790 166,006 60,326 11,117 0,238 869,774 12,302 1259,881 53,435 7071,340 148,427 2280,590 66,509 16390,991 474,434 221,543 15,397 225,656 10,137 
40 1 7 1462,622 31,385 5668,381 108,595 1730,140 210,740 4839,440 180,681 1899,448 311,519 217,039 70,893 9,552 0,234 876,958 6,420 1092,325 25,274 7191,726 158,600 2170,825 53,443 19143,045 409,811 205,674 8,723 214,099 9,631 
40 1 8 1305,714 45,407 5601,795 102,925 1574,070 162,124 5055,232 189,083 1840,816 309,058 278,116 119,872 8,449 0,192 892,103 8,112 989,494 32,806 7276,027 157,438 2047,489 54,730 21844,239 615,210 201,262 10,446 197,773 7,416 
40 1 9 1186,549 28,914 5626,087 92,502 1565,347 97,158 5106,611 157,900 1639,880 254,741 320,739 100,315 7,366 0,244 893,262 15,924 881,550 28,374 7454,597 172,716 1939,927 62,370 24080,948 611,453 164,358 6,938 182,067 6,718 
40 1 10 1053,505 42,914 6400,218 860,009 1319,802 141,253 5124,166 203,000 1571,277 267,587 350,693 111,618 6,626 0,123 902,121 6,875 810,125 29,909 7690,432 168,257 1883,937 67,203 27133,951 887,207 145,784 6,150 166,563 4,537 
40 1 11 984,630 45,402 6419,394 723,269 1247,730 112,632 5204,156 189,815 1494,481 248,742 362,235 96,012 6,127 0,160 909,595 11,592 776,915 22,044 8003,317 189,805 1731,930 91,604 28603,452 1243,229 139,129 8,353 159,344 4,633 
40 2 2 6184,651 532,979 4488,676 371,305 7698,340 481,177 3134,610 124,272 1960,889 188,391 40,085 15,159 351,057 20,370 528,432 15,627 6544,275 705,852 4657,474 253,973 6894,165 286,927 4353,350 104,199 1830,405 199,090 379,066 28,445 
40 3 3 7110,996 330,635 4934,113 184,641 9391,816 194,884 3703,710 85,142 1584,595 23,237 22,640 8,933 517,035 19,181 503,826 7,490 6953,538 600,937 5100,532 263,306 7878,806 334,590 6458,289 145,855 1316,160 112,116 215,199 9,732 
40 4 4 8436,399 448,402 5053,954 146,887 10239,237 902,301 4262,611 222,489 1576,078 23,963 30,134 10,880 587,692 26,710 504,880 9,134 6358,197 399,443 5328,088 195,777 8648,253 283,939 8565,693 186,793 1409,863 70,655 180,206 6,348 
40 5 5 8841,725 411,069 5834,903 755,286 10829,191 943,217 4135,458 148,306 1598,337 8,992 22,221 4,563 601,943 34,189 496,135 8,523 5759,901 181,946 5387,425 161,099 8793,167 199,798 10425,267 196,391 1314,141 55,426 161,592 4,751 
40 6 6 8951,418 342,489 5026,347 134,555 11900,255 1026,791 4419,205 146,182 1576,687 25,562 39,678 14,674 623,123 22,802 483,210 6,810 6144,334 176,168 5536,938 125,749 9318,161 430,214 12468,743 318,170 1319,034 32,587 140,704 3,360 
40 7 7 9732,755 441,610 6377,745 1020,389 13242,317 1035,519 4924,218 215,606 1572,997 24,133 42,069 7,681 655,220 28,260 479,401 7,199 7202,949 429,737 6030,530 210,522 9219,470 492,998 14017,680 445,874 1261,052 33,431 121,945 3,073 
40 8 8 10742,033 481,067 6002,024 265,699 14104,636 1093,362 5157,733 210,927 1593,155 26,201 38,306 15,041 635,274 32,194 467,603 12,177 8031,194 368,379 6388,589 264,940 8705,653 647,260 15151,709 624,723 1228,371 34,219 110,301 2,664 
40 9 9 11157,106 693,467 7269,038 1163,134 14791,317 1525,033 5851,825 282,811 1627,082 13,667 24,935 3,797 693,178 41,540 473,785 10,112 9002,134 387,609 6891,224 260,785 7212,173 842,294 13358,617 1563,840 1267,434 42,669 96,036 2,715 
40 10 10 11728,605 480,106 6475,464 262,328 17812,319 743,265 6062,296 280,129 1609,284 11,319 31,243 8,796 691,356 31,058 457,344 9,318 9862,007 457,572 7286,853 284,097 7490,617 917,626 16627,019 1012,430 1299,939 37,950 89,524 2,364 
40 11 11 12522,278 631,044 6892,828 309,155 16435,068 1752,260 6321,345 331,558 1607,051 9,171 26,931 4,529 710,417 28,374 450,038 11,156 10906,951 376,352 7864,955 334,518 8846,640 661,865 18797,818 899,849 1522,634 81,699 83,664 1,830 
40 12 12 12857,638 740,306 6898,178 275,215 18098,194 1785,793 6902,302 321,503 1592,446 26,277 54,316 11,099 756,171 45,634 457,696 11,995 11723,118 574,580 8115,174 318,011 8758,387 928,732 19865,766 1430,475 1905,345 226,400 81,200 2,306 
40 2 1 8528,348 453,598 2770,624 118,980 9546,764 546,291 2185,606 123,564 2510,571 227,123 40,036 26,216 504,156 34,102 376,019 14,285 10115,161 241,761 2600,222 94,201 10480,582 277,283 2357,685 59,728 2508,613 149,139 556,347 23,303 
40 3 1 11458,878 330,267 3151,863 169,283 13894,817 746,468 2151,010 96,632 1625,902 83,760 13,800 7,458 799,969 39,900 273,141 17,733 15356,891 430,963 2568,845 63,589 15421,888 376,782 2467,767 67,816 3214,601 199,435 452,314 13,630 
40 4 1 15185,990 395,716 2870,787 109,721 18027,484 683,814 2049,927 82,354 1630,221 31,822 5,978 1,624 955,001 50,526 202,554 9,659 18986,472 576,729 2437,399 68,641 19515,035 476,010 2396,977 50,899 4217,074 252,231 354,717 8,059 
40 5 1 18259,644 681,799 2901,248 185,510 22589,330 884,987 2191,904 92,999 1595,130 23,890 5,372 1,586 991,411 50,700 164,894 7,036 22376,888 467,467 2334,559 50,741 23897,143 545,726 2334,132 52,545 4939,275 230,144 301,383 7,746 
40 6 1 21696,660 527,184 3098,605 192,077 28297,172 1075,754 2265,356 129,230 1598,130 18,957 3,891 0,719 1115,067 55,747 137,442 5,160 25889,989 713,617 2286,584 54,745 27777,778 603,602 2303,074 45,059 5533,570 327,849 263,328 7,403 
