procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50932 48712892 497020 11106332    0    0     0     1    0    0  2  0 98  0  0	
 1  0  50932 48666120 497020 11106344    0    0     0     0 4606 13143  7  1 92  0  0	
 5  0  50932 48661260 497020 11106388    0    0     0     0 6322 1603 21  0 79  0  0	
 5  0  50932 48660548 497020 11106356    0    0     0   120 5729  525 21  0 79  0  0	
 5  0  50932 48661052 497020 11106356    0    0     0     0 5258  463 21  0 79  0  0	
 5  0  50932 48659140 497020 11106356    0    0     0     0 5444 1985 19  0 81  0  0	
 5  0  50932 48659132 497036 11106356    0    0     0    60 5766  635 21  0 79  0  0	
 5  0  50932 48659492 497036 11106360    0    0     0     0 5660  517 21  0 79  0  0	
 5  0  50932 48659768 497036 11106360    0    0     0     0 5294  753 19  0 81  0  0	
 5  0  50932 48659732 497036 11106360    0    0     0    76 6080  489 21  0 79  0  0	
 5  0  50932 48659980 497036 11106360    0    0     0     0 5958  602 21  0 79  0  0	
 5  0  50932 48658964 497036 11106360    0    0     0     0 5324  728 19  0 81  0  0	
 5  0  50932 48658716 497036 11106360    0    0     0     0 5277  463 21  0 79  0  0	
 5  0  50932 48658616 497036 11106360    0    0     0     0 5562  472 21  0 79  0  0	
 5  0  50932 48658740 497036 11106360    0    0     0    52 4927  634 19  0 81  0  0	
 5  0  50932 48658864 497036 11106360    0    0     0     0 5285  604 21  0 79  0  0	
 5  0  50932 48658876 497036 11106360    0    0     0     0 5912  455 21  0 79  0  0	
 0  0  50932 48658876 497036 11106360    0    0     0     0 5616  499 19  0 81  0  0	
 5  0  50932 48659000 497036 11106360    0    0     0    12 5139  585 20  0 80  0  0	
 5  0  50932 48659248 497036 11106360    0    0     0    84 5849  542 21  0 79  0  0	
 5  0  50932 48659248 497036 11106360    0    0     0    12 5951  629 21  0 79  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  50932 48659364 497036 11106360    0    0     0     0 5204  651 19  0 81  0  0	
 5  0  50932 48659384 497036 11106360    0    0     0     0 5690  461 21  0 79  0  0	
 5  0  50932 48659384 497036 11106360    0    0     0     0 5663  468 21  0 79  0  0	
 5  0  50932 48659484 497036 11106364    0    0     0    20 5413  714 19  0 81  0  0	
 5  0  50932 48659732 497036 11106364    0    0     0    36 5816  476 21  0 79  0  0	
 5  0  50932 48659732 497036 11106364    0    0     0    12 5653  460 21  0 79  0  0	
 5  0  50932 48659732 497036 11106364    0    0     0     0 5297  596 19  0 81  0  0	
 5  0  50932 48659732 497036 11106364    0    0     0     0 5784  464 21  0 79  0  0	
 5  0  50932 48659732 497036 11106364    0    0     0     4 5662  472 21  0 79  0  0	
 5  0  50932 48659864 497036 11106364    0    0     0    36 5352  734 19  0 81  0  0	
 5  0  50932 48659980 497036 11106364    0    0     0     0 5837  529 21  0 79  0  0	
 5  0  50932 48659856 497036 11106364    0    0     0     0 5812  485 21  0 79  0  0	
