procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  51048 54497772 476028 6411608    0    0     0     1    0    0  0  0 99  0  0	
 3  0  51048 54450700 476028 6411600    0    0     0     0 4558 12398  8  1 91  0  0	
18  0  51048 54443028 476028 6411632    0    0     0    92 19428 3108 70  0 30  0  0	
18  0  51048 54442788 476028 6411632    0    0     0     0 18415  667 75  0 25  0  0	
18  0  51048 54443292 476028 6411632    0    0     0     0 18340  548 75  0 25  0  0	
26  0  51048 54440948 476028 6411632    0    0     0    16 18825 2993 74  0 26  0  0	
18  0  51048 54441228 476028 6411632    0    0     0    48 18705  733 75  0 25  0  0	
18  0  51048 54441280 476028 6411632    0    0     0    44 18337  751 75  0 25  0  0	
18  0  51048 54441268 476028 6411632    0    0     0    16 18396 1232 75  0 25  0  0	
18  0  51048 54441312 476028 6411632    0    0     0     0 18353  555 75  0 25  0  0	
18  0  51048 54441436 476028 6411632    0    0     0    20 18512  564 75  0 25  0  0	
18  0  51048 54441188 476028 6411632    0    0     0     0 18451 1018 75  0 25  0  0	
18  0  51048 54441532 476028 6411632    0    0     0    52 18349  657 75  0 25  0  0	
18  0  51048 54441556 476028 6411632    0    0     0    32 18465  568 75  0 25  0  0	
18  0  51048 54441556 476028 6411632    0    0     0     0 18444 1043 75  0 25  0  0	
21  0  51048 54441688 476028 6411632    0    0     0   108 18437  719 75  0 25  0  0	
18  0  51048 54441532 476028 6411632    0    0     0     4 18472  710 75  0 25  0  0	
18  0  51048 54439052 476028 6411632    0    0     0    32 19776  932 75  0 25  0  0	
18  0  51048 54439052 476028 6411632    0    0     0     0 18325  556 75  0 25  0  0	
18  0  51048 54439300 476028 6411632    0    0     0    20 18570  585 75  0 25  0  0	
18  0  51048 54439200 476028 6411632    0    0     0    16 18244  850 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  51048 54439300 476028 6411632    0    0     0     0 18463  565 75  0 25  0  0	
19  0  51048 54439672 476028 6411632    0    0     0    40 18297  589 75  0 25  0  0	
18  0  51048 54439052 476028 6411632    0    0     0     0 18148  960 73  0 27  0  0	
18  0  51048 54438944 476028 6411632    0    0     0    20 18498  610 75  0 25  0  0	
18  0  51048 54439068 476028 6411632    0    0     0     0 18808  833 75  0 25  0  0	
18  0  51048 54439192 476028 6411632    0    0     0     0 18434 1001 74  0 26  0  0	
18  0  51048 54439204 476028 6411632    0    0     0    32 18628  554 75  0 25  0  0	
19  0  51048 54439204 476028 6411632    0    0     0     0 18401  531 75  0 25  0  0	
18  0  51048 54438960 476028 6411632    0    0     0    20 18590  919 75  0 25  0  0	
18  0  51048 54438836 476028 6411632    0    0     0     4 18428  540 75  0 25  0  0	
18  0  51048 54440696 476028 6411632    0    0     0     0 18315  533 75  0 25  0  0	
18  0  51048 54440704 476028 6411632    0    0     0    40 18382  827 75  0 25  0  0	
18  0  51048 54440704 476028 6411632    0    0     0     0 18477  549 75  0 25  0  0	
18  0  51048 54440704 476028 6411632    0    0     0     8 18261  530 75  0 25  0  0	
18  0  51048 54440704 476028 6411632    0    0     0   136 18798 1134 75  0 25  0  0	
18  0  51048 54440820 476028 6411632    0    0     0     0 18415  609 75  0 25  0  0	
18  0  51048 54440944 476028 6411632    0    0     0    32 18293  581 75  0 25  0  0	
18  0  51048 54440696 476028 6411632    0    0     0     0 18500 1223 74  0 26  0  0	
18  0  51048 54440572 476028 6411632    0    0     0     0 18357  546 75  0 25  0  0	
18  0  51048 54440572 476028 6411632    0    0     0   124 18522  581 75  0 25  0  0	
18  0  51048 54440580 476028 6411632    0    0     0    12 18367  820 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  51048 54440580 476028 6411632    0    0     0    40 18457  572 75  0 25  0  0	
18  0  51048 54440580 476028 6411640    0    0     0     0 18263  526 75  0 25  0  0	
18  0  51048 54438112 476028 6411640    0    0     0     0 19361  832 75  0 25  0  0	
18  0  51048 54438112 476028 6411640    0    0     0    44 18597  846 75  0 25  0  0	
18  0  51048 54438104 476028 6411640    0    0     0    28 18673  555 75  0 25  0  0	
18  0  51048 54437980 476028 6411640    0    0     0    32 18339  865 75  0 25  0  0	
18  0  51048 54437980 476028 6411640    0    0     0     0 18326  581 75  0 25  0  0	
18  0  51048 54437984 476028 6411640    0    0     0   756 18594 1041 75  0 25  0  0	
18  0  51048 54427320 476028 6411640    0    0     0    52 21342  832 73  0 27  0  0	
18  0  51048 54429552 476028 6411640    0    0     0    20 18633  554 75  0 25  0  0	
18  0  51048 54429800 476028 6411640    0    0     0    32 18285  560 75  0 25  0  0	
18  0  51048 54429428 476028 6411640    0    0     0     0 18713  750 75  0 25  0  0	
18  0  51048 54429540 476028 6411640    0    0     0     0 18590  532 75  0 25  0  0	
18  0  51048 54429540 476028 6411640    0    0     0    24 18784  890 75  0 25  0  0	
18  0  51048 54429160 476028 6411640    0    0     0     0 18380  831 75  0 25  0  0	
18  0  51048 54429284 476028 6411640    0    0     0    60 18348  707 74  0 25  0  0	
18  0  51048 54429160 476028 6411640    0    0     0     0 18268  536 75  0 25  0  0	
18  0  51048 54429292 476028 6411640    0    0     0     0 18521  756 75  0 25  0  0	
18  0  51048 54429292 476028 6411640    0    0     0     0 18611  577 75  0 25  0  0	
18  0  51048 54429432 476028 6411640    0    0     0    16 18620  552 75  0 25  0  0	
18  0  51048 54441152 476028 6411636    0    0     0    64 12862 9690 41  1 59  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  51048 54439192 476028 6411640    0    0     0     0 18352  649 75  0 25  0  0	
18  0  51048 54438820 476028 6411640    0    0     0     0 18469  566 75  0 25  0  0	
18  0  51048 54439324 476028 6411640    0    0     0    52 18702 2325 74  0 26  0  0	
18  0  51048 54439148 476028 6411640    0    0     0     0 18352  657 75  0 25  0  0	
18  0  51048 54439148 476028 6411640    0    0     0   112 18391  648 75  0 25  0  0	
18  0  51048 54439156 476028 6411640    0    0     0     0 18294 1030 75  0 25  0  0	
18  0  51048 54439308 476028 6411640    0    0     0    16 18331  653 75  0 25  0  0	
18  0  51048 54439184 476028 6411640    0    0     0    16 18579  749 75  0 25  0  0	
18  0  51048 54426916 476028 6411640    0    0     0     0 18616 1100 75  0 25  0  0	
19  0  51048 54426788 476028 6411640    0    0     0    32 18313  624 75  0 25  0  0	
18  0  51048 54426416 476028 6411640    0    0     0    24 18326  581 75  0 25  0  0	
18  0  51048 54426416 476028 6411640    0    0     0     0 18343  783 75  0 25  0  0	
18  0  51048 54426664 476028 6411640    0    0     0    44 18639  979 75  0 25  0  0	
18  0  51048 54431492 476028 6411640    0    0     0     4 18348  573 75  0 25  0  0	
18  0  51048 54429376 476028 6411640    0    0     0    40 19112  919 74  0 26  0  0	
18  0  51048 54429376 476028 6411640    0    0     0    40 18496  661 75  0 25  0  0	
18  0  51048 54429500 476028 6411640    0    0     0     0 18403  551 75  0 25  0  0	
18  0  51048 54429516 476028 6411640    0    0     0    16 18412  824 75  0 25  0  0	
18  0  51048 54429516 476028 6411640    0    0     0     0 18271  531 75  0 25  0  0	
18  0  51048 54429640 476028 6411640    0    0     0    32 18522  570 75  0 25  0  0	
18  0  51048 54429640 476028 6411640    0    0     0     0 18538 1286 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  51048 54428904 476028 6411640    0    0     0    32 18326  618 75  0 25  0  0	
18  0  51048 54429208 476028 6411640    0    0     0    20 18502  840 75  0 25  0  0	
18  0  51048 54429200 476028 6411644    0    0     0     0 18356 1006 75  0 25  0  0	
19  0  51048 54431052 476028 6411648    0    0     0    40 18494  581 75  0 25  0  0	
18  0  51048 54431052 476028 6411648    0    0     0     0 18264  526 75  0 25  0  0	
18  0  51048 54428916 476028 6411648    0    0     0    28 19472  855 75  0 25  0  0	
18  0  51048 54429040 476028 6411648    0    0     0     0 18518  538 75  0 25  0  0	
18  0  51048 54428924 476028 6411648    0    0     0     0 18267  529 75  0 25  0  0	
18  0  51048 54428940 476028 6411648    0    0     0    32 18323  792 75  0 25  0  0	
18  0  51048 54428940 476028 6411648    0    0     0     0 18358  534 75  0 25  0  0	
18  0  51048 54428940 476028 6411648    0    0     0     0 18734  537 75  0 25  0  0	
18  0  51048 54428940 476028 6411648    0    0     0   104 18775 1024 75  0 25  0  0	
18  0  51048 54428924 476028 6411648    0    0     0     0 18571  723 75  0 25  0  0	
18  0  51048 54428800 476028 6411648    0    0     0    40 18431  626 75  0 25  0  0	
18  0  51048 54428924 476028 6411648    0    0     0     0 18279  813 75  0 25  0  0	
18  0  51048 54428924 476028 6411648    0    0     0     0 18390  539 75  0 25  0  0	
18  0  51048 54428940 476028 6411648    0    0     0   112 18443  558 75  0 25  0  0	
18  0  51048 54417912 476028 6411648    0    0     0    12 22317  858 74  0 26  0  0	
18  0  51048 54420524 476028 6411652    0    0     0    32 18384  748 73  0 27  0  0	
18  0  51048 54420524 476028 6411652    0    0     0     0 18270  525 75  0 25  0  0	
18  0  51048 54420772 476028 6411652    0    0     0     8 18282  808 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  51048 54420968 476028 6411652    0    0     0    84 18502  844 75  0 25  0  0	
18  0  51048 54420968 476028 6411652    0    0     0     0 18481  577 75  0 25  0  0	
18  0  51048 54421084 476028 6411652    0    0     0    40 18440  997 75  0 25  0  0	
18  0  51048 54420836 476028 6411652    0    0     0     0 18458  699 75  0 25  0  0	
18  0  51048 54420960 476028 6411652    0    0     0   756 18672  910 75  0 25  0  0	
18  0  51048 54420960 476028 6411652    0    0     0    20 18414  761 75  0 25  0  0	
18  0  51048 54420784 476028 6411652    0    0     0    24 18306  664 75  0 25  0  0	
18  0  51048 54420784 476028 6411652    0    0     0    32 18311  580 75  0 25  0  0	
18  0  51048 54420660 476028 6411652    0    0     0     0 18144  762 73  0 27  0  0	
18  0  51048 54420660 476028 6411652    0    0     0     0 18107  618 74  0 26  0  0	
18  0  51048 54420660 476028 6411652    0    0     0     0 18606  869 75  0 25  0  0	
18  0  51048 54420652 476028 6411652    0    0     0    24 18472  718 75  0 25  0  0	
18  0  51048 54420700 476028 6411652    0    0     0    44 18669  707 75  0 25  0  0	
18  0  51048 54420824 476028 6411652    0    0     0     0 18518  585 75  0 25  0  0	
18  0  51048 54420824 476028 6411652    0    0     0     0 17916  766 73  0 27  0  0	
18  0  51048 54420840 476028 6411652    0    0     0    16 18088  653 73  0 27  0  0	
18  0  51048 54420908 476028 6411652    0    0     0     0 18380  562 75  0 25  0  0	
 3  0  51048 54437504 476028 6411652    0    0     0    64 14456 6147 51  0 48  0  0	
18  0  51048 54430944 476028 6411624    0    0     0     0 18195 3249 72  0 28  0  0	
18  0  51048 54430548 476028 6411652    0    0     0     0 18569  669 75  0 25  0  0	
18  0  51048 54430548 476028 6411652    0    0     0    20 18751  860 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  51048 54428348 476028 6411652    0    0     0     0 19140 2312 73  0 26  0  0	
18  0  51048 54427940 476028 6411652    0    0     0    68 18510  613 75  0 25  0  0	
18  0  51048 54427948 476028 6411652    0    0     0    40 18305  559 75  0 25  0  0	
18  0  51048 54428196 476028 6411656    0    0     0     0 18469 1148 74  0 26  0  0	
18  0  51048 54428288 476028 6411660    0    0     0    68 18494  564 75  0 25  0  0	
18  0  51048 54428296 476028 6411660    0    0     0     0 18430  599 75  0 25  0  0	
18  0  51048 54428740 476028 6411660    0    0     0    40 18194 1057 74  0 26  0  0	
18  0  51048 54428740 476028 6411660    0    0     0    24 18444  575 75  0 25  0  0	
18  0  51048 54428828 476028 6411660    0    0     0     0 18453  746 75  0 25  0  0	
18  0  51048 54428952 476028 6411660    0    0     0    52 18609 1250 75  0 25  0  0	
19  0  51048 54428944 476028 6411660    0    0     0     0 18286  546 75  0 25  0  0	
18  0  51048 54428804 476028 6411660    0    0     0    32 18402  617 75  0 25  0  0	
18  0  51048 54427068 476028 6411660    0    0     0    40 19827  956 75  0 25  0  0	
18  0  51048 54426820 476028 6411660    0    0     0    16 18446  552 75  0 25  0  0	
19  0  51048 54426836 476028 6411660    0    0     0    16 18452  575 75  0 25  0  0	
18  0  51048 54426928 476028 6411660    0    0     0     0 18436  851 75  0 25  0  0	
19  0  51048 54426928 476028 6411660    0    0     0    40 18442  593 75  0 25  0  0	
18  0  51048 54426928 476028 6411660    0    0     0     0 18501  577 75  0 25  0  0	
18  0  51048 54426928 476028 6411660    0    0     0    24 18280 1022 75  0 25  0  0	
19  0  51048 54427052 476028 6411660    0    0     0     0 18532  838 75  0 25  0  0	
18  0  51048 54427036 476028 6411660    0    0     0     0 18298  559 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  51048 54427036 476028 6411660    0    0     0    32 18304  934 75  0 25  0  0	
18  0  51048 54427036 476028 6411660    0    0     0     0 18440  550 75  0 25  0  0	
18  0  51048 54427036 476028 6411660    0    0     0    24 18387  559 75  0 25  0  0	
18  0  51048 54427036 476028 6411660    0    0     0     0 18619  923 75  0 25  0  0	
18  0  51048 54426916 476028 6411660    0    0     0     0 18296  551 75  0 25  0  0	
18  0  51048 54428784 476028 6411660    0    0     0    40 18487  616 75  0 25  0  0	
18  0  51048 54428784 476028 6411660    0    0     0    12 18256  787 75  0 25  0  0	
18  0  51048 54428784 476028 6411660    0    0     0     0 18495  546 75  0 25  0  0	
18  0  51048 54428660 476028 6411660    0    0     0   100 19047  854 75  0 25  0  0	
18  0  51048 54428280 476028 6411660    0    0     0     0 18421  906 75  0 25  0  0	
18  0  51048 54428280 476028 6411660    0    0     0    32 18511  590 75  0 25  0  0	
19  0  51048 54428280 476028 6411660    0    0     0     0 18300  569 75  0 25  0  0	
18  0  51048 54428032 476028 6411660    0    0     0     0 18302  941 75  0 25  0  0	
19  0  51048 54427916 476028 6411660    0    0     0   104 18457  595 75  0 25  0  0	
18  0  51048 54427924 476028 6411660    0    0     0    12 18346  602 75  0 25  0  0	
19  0  51048 54427924 476028 6411660    0    0     0    40 18512  848 75  0 25  0  0	
18  0  51048 54427924 476028 6411660    0    0     0     0 18624  550 75  0 25  0  0	
19  0  51048 54428000 476028 6411660    0    0     0     0 18613  550 75  0 25  0  0	
18  0  51048 54428000 476028 6411660    0    0     0   104 17769 1331 71  0 29  0  0	
19  0  51048 54427992 476028 6411660    0    0     0     0 18270  549 75  0 25  0  0	
18  0  51048 54427992 476028 6411660    0    0     0    32 18595  572 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  51048 54428116 476028 6411660    0    0     0     0 18543  902 75  0 25  0  0	
18  0  51048 54428124 476028 6411660    0    0     0   756 18615 1007 75  0 25  0  0	
18  0  51048 54428000 476028 6411660    0    0     0    20 18311  610 74  0 26  0  0	
18  0  51048 54427752 476028 6411660    0    0     0    28 18419  808 75  0 25  0  0	
