procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50988 54464052 477956 6440104    0    0     0     1    0    0  1  0 99  0  0	
 2  0  50988 54417692 477956 6440084    0    0     0     0 4877 13380  8  1 91  0  0	
 6  0  50988 54412516 477956 6440128    0    0     0    16 7661 2148 25  0 75  0  0	
 6  0  50988 54412612 477956 6440128    0    0     0   108 6944  574 25  0 75  0  0	
 6  0  50988 54412944 477956 6440128    0    0     0     0 6288  530 25  0 75  0  0	
 6  0  50988 54410280 477956 6440128    0    0     0    56 7191 2190 25  0 75  0  0	
 6  0  50988 54409536 477956 6440128    0    0     0     0 6460  536 25  0 75  0  0	
 6  0  50988 54409680 477956 6440128    0    0     0     0 6293  541 25  0 75  0  0	
 6  0  50988 54409308 477956 6440128    0    0     0    60 7015  960 25  0 75  0  0	
 6  0  50988 54409564 477956 6440136    0    0     0    76 6856  595 25  0 75  0  0	
 6  0  50988 54409408 477956 6440136    0    0     0    28 6808  546 25  0 75  0  0	
 7  0  50988 54409532 477956 6440136    0    0     0     0 7081  764 25  0 75  0  0	
 6  0  50988 54409656 477956 6440136    0    0     0     0 7286  821 25  0 75  0  0	
 6  0  50988 54409752 477956 6440136    0    0     0    40 6488  563 25  0 75  0  0	
 6  0  50988 54409744 477956 6440136    0    0     0    20 6375  830 25  0 75  0  0	
 6  0  50988 54409752 477956 6440136    0    0     0    16 6736  581 25  0 75  0  0	
 6  0  50988 54409764 477956 6440136    0    0     0     0 6687  694 25  0 75  0  0	
 6  0  50988 54409764 477956 6440136    0    0     0     0 6727  748 25  0 75  0  0	
 6  0  50988 54409952 477956 6440136    0    0     0    40 6833  603 25  0 75  0  0	
 6  0  50988 54409828 477956 6440136    0    0     0    16 6813  544 25  0 75  0  0	
 6  0  50988 54409956 477956 6440136    0    0     0    16 6575  746 25  0 75  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  50988 54409972 477956 6440140    0    0     0    16 7163  627 25  0 75  0  0	
 6  0  50988 54410220 477956 6440140    0    0     0    44 7175  844 25  0 75  0  0	
 6  0  50988 54410212 477956 6440140    0    0     0    40 6728  662 25  0 75  0  0	
 6  0  50988 54410328 477956 6440140    0    0     0     0 7029  546 25  0 75  0  0	
 6  0  50988 54410452 477956 6440144    0    0     0     0 7098  567 25  0 75  0  0	
 6  0  50988 54410576 477956 6440144    0    0     0    16 6902  599 25  0 75  0  0	
 6  0  50988 54410576 477956 6440144    0    0     0    12 7178  557 25  0 75  0  0	
 6  0  50988 54410700 477956 6440144    0    0     0    40 7227  590 25  0 75  0  0	
 6  0  50988 54410836 477956 6440144    0    0     0     0 6950  703 25  0 75  0  0	
 6  0  50988 54410960 477956 6440144    0    0     0     4 6936  545 25  0 75  0  0	
 6  0  50988 54410960 477956 6440144    0    0     0     0 7088  531 25  0 75  0  0	
 6  0  50988 54410960 477956 6440144    0    0     0    44 7313 1064 25  0 75  0  0	
 6  0  50988 54410572 477956 6440144    0    0     0    64 7126  616 25  0 75  0  0	
 6  0  50988 54410324 477956 6440148    0    0     0    84 7269  573 25  0 75  0  0	
 6  0  50988 54410324 477956 6440148    0    0     0    52 7301  714 25  0 75  0  0	
 6  0  50988 54410324 477956 6440148    0    0     0     0 7116  683 25  0 75  0  0	
 6  0  50988 54410324 477956 6440148    0    0     0    28 6316  555 25  0 75  0  0	
 6  0  50988 54410432 477956 6440152    0    0     0    48 6684  667 25  0 75  0  0	
 6  0  50988 54410324 477956 6440152    0    0     0    92 6592  567 25  0 75  0  0	
 6  0  50988 54410332 477956 6440152    0    0     0     0 6624  559 25  0 75  0  0	
 6  0  50988 54410580 477956 6440152    0    0     0     0 6538  666 25  0 75  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  50988 54410580 477956 6440152    0    0     0    24 6945  856 25  0 75  0  0	
 6  0  50988 54410572 477956 6440156    0    0     0    32 6537  555 25  0 75  0  0	
 6  0  50988 54410564 477956 6440160    0    0     0    40 7031  767 25  0 75  0  0	
 6  0  50988 54410440 477956 6440160    0    0     0     0 7195  629 25  0 75  0  0	
 6  0  50988 54410696 477956 6440160    0    0     0     0 7143  532 25  0 75  0  0	
 6  0  50988 54410696 477956 6440164    0    0     0   768 7443 1186 25  0 75  0  0	
 6  0  50988 54410712 477956 6440164    0    0     0    68 7128  571 25  0 75  0  0	
 6  0  50988 54410712 477956 6440164    0    0     0    28 7121  556 25  0 75  0  0	
