procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50932 48721636 496972 11099348    0    0     0     1    0    0  2  0 98  0  0	
 2  0  50932 48672676 496972 11099320    0    0     0     0 4743 13173  7  1 92  0  0	
18  0  50932 48665860 496972 11099376    0    0     0     0 19105 2379 73  0 27  0  0	
18  0  50932 48665116 496972 11099376    0    0     0     0 18426  487 75  0 25  0  0	
18  0  50932 48665592 496972 11099376    0    0     0     0 18252  467 75  0 25  0  0	
18  0  50932 48665000 496972 11099376    0    0     0   132 16983 2369 67  0 33  0  0	
18  0  50932 48663800 496972 11099376    0    0     0     0 18316  533 75  0 25  0  0	
18  0  50932 48663816 496972 11099376    0    0     0     0 18236  462 75  0 25  0  0	
18  0  50932 48664064 496972 11099376    0    0     0     0 16621 1121 67  0 33  0  0	
18  0  50932 48663912 496972 11099376    0    0     0     0 18236  467 75  0 25  0  0	
18  0  50932 48664100 496972 11099376    0    0     0    12 18268  660 75  0 25  0  0	
18  0  50932 48664224 496972 11099376    0    0     0    24 16469 1046 67  0 33  0  0	
18  0  50932 48663968 496972 11099376    0    0     0     0 18249  471 75  0 25  0  0	
18  0  50932 48663868 496972 11099376    0    0     0     0 18416  481 75  0 25  0  0	
18  0  50932 48664116 496972 11099376    0    0     0     0 16398  739 67  0 33  0  0	
18  0  50932 48664116 496972 11099376    0    0     0     0 18317  593 75  0 25  0  0	
18  0  50932 48664116 496972 11099376    0    0     0    24 18247  479 75  0 25  0  0	
 0  0  50932 48664240 496972 11099376    0    0     0     0 17202  562 71  0 29  0  0	
18  0  50932 48662140 496972 11099376    0    0     0     0 19024  824 72  0 28  0  0	
18  0  50932 48661892 496972 11099376    0    0     0     0 18266  625 75  0 25  0  0	
18  0  50932 48661948 496972 11099376    0    0     0   108 18296  483 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  50932 48662072 496972 11099376    0    0     0    24 16654  924 67  0 33  0  0	
18  0  50932 48662048 496972 11099376    0    0     0     0 18265  468 75  0 25  0  0	
18  0  50932 48662048 496972 11099376    0    0     0     0 18235  469 75  0 25  0  0	
18  0  50932 48662064 496972 11099376    0    0     0     0 16622  824 67  0 33  0  0	
18  0  50932 48661816 496972 11099376    0    0     0     0 18277  476 75  0 25  0  0	
18  0  50932 48661816 496972 11099376    0    0     0    12 18238  481 75  0 25  0  0	
18  0  50932 48661816 496972 11099376    0    0     0    24 16464  994 67  0 33  0  0	
18  0  50932 48661816 496972 11099376    0    0     0     0 18282  481 75  0 25  0  0	
18  0  50932 48661840 496972 11099380    0    0     0     0 18490  479 75  0 25  0  0	
18  0  50932 48661840 496972 11099380    0    0     0     4 16658  784 67  0 33  0  0	
18  0  50932 48663576 496972 11099380    0    0     0     0 18454  731 74  0 25  0  0	
18  0  50932 48663692 496972 11099380    0    0     0    36 18243  502 75  0 25  0  0	
 0  0  50932 48663568 496972 11099380    0    0     0     0 17312  586 71  0 29  0  0	
18  0  50932 48663444 496972 11099380    0    0     0     0 17432  934 72  0 28  0  0	
18  0  50932 48663320 496972 11099380    0    0     0   104 18508  599 75  0 25  0  0	
18  0  50932 48663196 496972 11099380    0    0     0     0 18320  624 75  0 25  0  0	
18  0  50932 48662832 496972 11099380    0    0     0    48 16569  696 67  0 33  0  0	
18  0  50932 48662832 496972 11099380    0    0     0     0 18323  568 75  0 25  0  0	
18  0  50932 48662832 496972 11099380    0    0     0    12 18233  479 75  0 25  0  0	
18  0  50932 48662832 496972 11099380    0    0     0     0 15917  799 65  0 35  0  0	
18  0  50932 48662460 496972 11099380    0    0     0    68 18619  633 75  0 25  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  50932 48662328 496972 11099380    0    0     0    32 18454  533 75  0 25  0  0	
18  0  50932 48662328 496972 11099384    0    0     0     0 16745  769 67  0 33  0  0	
18  0  50932 48662204 496972 11099384    0    0     0     0 18259  612 75  0 25  0  0	
18  0  50932 48662204 496972 11099388    0    0     0     0 18271  472 75  0 25  0  0	
18  0  50932 48662204 496972 11099388    0    0     0    16 16558  759 67  0 33  0  0	
18  0  50932 48662092 496972 11099388    0    0     0     0 18382  473 75  0 25  0  0	
18  0  50932 48662092 496972 11099388    0    0     0    28 18397  496 75  0 25  0  0	
 0  0  50932 48662164 496972 11099388    0    0     0     0 17332  598 71  0 29  0  0	
18  0  50932 48662168 496972 11099388    0    0     0    16 17459  732 72  0 28  0  0	
18  0  50932 48662168 496972 11099388    0    0     0     0 18465  626 75  0 25  0  0	
18  0  50932 48661888 496972 11099388    0    0     0    16 18266  492 75  0 25  0  0	
18  0  50932 48661888 496972 11099388    0    0     0    24 16478  844 67  0 33  0  0	
18  0  50932 48661888 496972 11099388    0    0     0     0 18263  517 75  0 25  0  0	
18  0  50932 48661896 496972 11099388    0    0     0    16 18261  472 75  0 25  0  0	
18  0  50932 48661924 496972 11099388    0    0     0     0 16530  665 67  0 33  0  0	
18  0  50932 48661676 496972 11099388    0    0     0     0 18250  464 75  0 25  0  0	
18  0  50932 48661684 496972 11099388    0    0     0    40 18573  483 75  0 25  0  0	
18  0  50932 48661684 496972 11099388    0    0     0    12 16308  740 67  0 33  0  0	
18  0  50932 48661560 496972 11099388    0    0     0    24 18324  591 75  0 25  0  0	
18  0  50932 48661560 496972 11099388    0    0     0     0 18419  639 75  0 25  0  0	
18  0  50932 48659320 496972 11099388    0    0     0     0 17788  848 68  0 32  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  50932 48659072 496972 11099388    0    0     0    28 18268  486 75  0 25  0  0	
18  0  50932 48658948 496972 11099388    0    0     0     0 18329  487 75  0 25  0  0	
 0  0  50932 48658948 496972 11099388    0    0     0    80 17565  573 71  0 29  0  0	
18  0  50932 48659124 496972 11099388    0    0     0     0 13004 9734 39  1 60  0  0	
