procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50964 49201040 496056 11067440    0    0     0     1    0    0  2  0 98  0  0	
 1  0  50964 49150080 496056 11067416    0    0     0    72 4643 12947  7  1 92  0  0	
21  0  50964 49142456 496056 11067464    0    0     0     0 22001 2500 83  0 17  0  0	
21  0  50964 49141836 496056 11067464    0    0     0    56 21243  486 87  0 12  0  0	
21  0  50964 49142176 496056 11067464    0    0     0    12 21267  485 88  0 13  0  0	
21  0  50964 49141192 496056 11067464    0    0     0     0 19732 2764 77  0 23  0  0	
21  0  50964 49139948 496056 11067464    0    0     0    36 21347  526 88  0 12  0  0	
21  0  50964 49140188 496056 11067464    0    0     0    40 21269  488 88  0 13  0  0	
21  0  50964 49140312 496056 11067464    0    0     0     0 18583 1342 75  0 25  0  0	
21  0  50964 49140108 496056 11067464    0    0     0     0 21152  492 87  0 13  0  0	
21  0  50964 49140592 496056 11067464    0    0     0     0 21319  478 88  0 12  0  0	
21  0  50964 49140668 496056 11067464    0    0     0    40 18787  994 77  0 23  0  0	
21  0  50964 49140544 496056 11067464    0    0     0     0 20645  658 85  0 15  0  0	
21  0  50964 49140544 496056 11067464    0    0     0    36 21363  486 88  0 12  0  0	
21  0  50964 49138824 496056 11067464    0    0     0     0 20104  862 77  0 23  0  0	
21  0  50964 49138824 496056 11067464    0    0     0     0 20953  780 85  0 15  0  0	
21  0  50964 49140056 496056 11067464    0    0     0     0 22452  475 87  0 13  0  0	
 0  0  50964 49140428 496056 11067464    0    0     0    44 20249  694 83  0 17  0  0	
21  0  50964 49140560 496056 11067464    0    0     0     0 20276  695 83  0 17  0  0	
21  0  50964 49140684 496056 11067464    0    0     0     0 21250  487 87  0 13  0  0	
21  0  50964 49140684 496056 11067464    0    0     0     0 21225  467 87  0 12  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0  50964 49138080 496056 11067468    0    0     0     0 19803 1277 76  0 24  0  0	
21  0  50964 49137852 496056 11067468    0    0     0    28 21239  493 88  0 13  0  0	
22  0  50964 49137852 496056 11067468    0    0     0    12 21257  477 87  0 12  0  0	
21  0  50964 49132340 496056 11067468    0    0     0     0 21475  923 78  0 21  0  0	
21  0  50964 49132092 496056 11067468    0    0     0     0 21382  607 87  0 13  0  0	
21  0  50964 49132100 496056 11067468    0    0     0     0 21328  686 88  0 12  0  0	
21  0  50964 49132100 496056 11067468    0    0     0    40 18861  819 77  0 23  0  0	
21  0  50964 49131976 496056 11067468    0    0     0    20 20583  667 84  0 16  0  0	
21  0  50964 49131976 496056 11067468    0    0     0     0 21362  476 88  0 12  0  0	
21  0  50964 49132108 496056 11067468    0    0     0     0 18997  819 78  0 22  0  0	
21  0  50964 49132140 496056 11067468    0    0     0     0 20259  681 83  0 17  0  0	
21  0  50964 49132140 496056 11067468    0    0     0    84 21291  530 87  0 13  0  0	
 0  0  50964 49132016 496056 11067468    0    0     0    56 20199  550 83  0 17  0  0	
21  0  50964 49132016 496056 11067468    0    0     0     4 20155  955 82  0 18  0  0	
21  0  50964 49132016 496056 11067468    0    0     0     0 21393  608 88  0 12  0  0	
21  0  50964 49132132 496056 11067468    0    0     0     0 21246  477 87  0 12  0  0	
21  0  50964 49132132 496056 11067472    0    0     0     0 19111  819 79  0 21  0  0	
21  0  50964 49132132 496056 11067472    0    0     0   112 21434  500 88  0 12  0  0	
21  0  50964 49132256 496056 11067472    0    0     0     0 21221  464 88  0 12  0  0	
21  0  50964 49132256 496056 11067472    0    0     0     0 19188  727 79  0 21  0  0	
21  0  50964 49131884 496056 11067472    0    0     0     0 21214  466 88  0 13  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0  50964 49132016 496056 11067472    0    0     0    16 21265  529 88  0 12  0  0	
21  0  50964 49132016 496056 11067476    0    0     0    32 19144  973 79  0 21  0  0	
21  0  50964 49131716 496056 11067476    0    0     0    16 21352  494 87  0 12  0  0	
21  0  50964 49131840 496056 11067476    0    0     0     0 21495  601 88  0 12  0  0	
21  0  50964 49131956 496056 11067476    0    0     0     0 19197  736 78  0 22  0  0	
21  0  50964 49131956 496056 11067476    0    0     0    16 21232  470 87  0 12  0  0	
21  0  50964 49131956 496056 11067476    0    0     0    48 21455  491 88  0 13  0  0	
 0  0  50964 49132080 496056 11067476    0    0     0     0 20161  524 83  0 17  0  0	
21  0  50964 49131924 496056 11067476    0    0     0    20 19339  770 79  0 21  0  0	
21  0  50964 49131924 496056 11067476    0    0     0     0 21299  496 87  0 13  0  0	
21  0  50964 49131932 496056 11067476    0    0     0     0 21268  646 88  0 12  0  0	
21  0  50964 49131932 496056 11067476    0    0     0     0 19100  649 79  0 21  0  0	
21  0  50964 49131808 496056 11067476    0    0     0    28 21416  658 87  0 13  0  0	
21  0  50964 49131984 496056 11067476    0    0     0     0 21420  618 88  0 12  0  0	
21  0  50964 49131604 496056 11067476    0    0     0     0 18742  774 76  0 24  0  0	
21  0  50964 49131356 496056 11067476    0    0     0    28 21368  504 87  0 13  0  0	
21  0  50964 49131232 496056 11067476    0    0     0     4 21578  475 88  0 12  0  0	
21  0  50964 49131232 496056 11067476    0    0     0    28 18649  823 76  0 24  0  0	
21  0  50964 49130860 496056 11067476    0    0     0     0 21086  770 86  0 14  0  0	
21  0  50964 49130860 496056 11067476    0    0     0     0 21368  481 88  0 12  0  0	
21  0  50964 49130868 496056 11067476    0    0     0    60 19252  685 78  0 22  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0  50964 49130744 496056 11067476    0    0     0     8 21239  477 88  0 12  0  0	
21  0  50964 49130744 496056 11067476    0    0     0    48 21385  501 88  0 12  0  0	
 0  0  50964 49130744 496056 11067480    0    0     0     0 20353  702 83  0 17  0  0	
21  0  50964 49130576 496056 11067448    0    0     0     0 12688 9913 34  1 65  0  0	
21  0  50964 49127544 496056 11067480    0    0     0     0 21221  598 87  0 13  0  0	
21  0  50964 49127544 496056 11067480    0    0     0    48 21210  483 88  0 13  0  0	
21  0  50964 49127588 496056 11067480    0    0     0    52 19386 2258 77  0 22  0  0	
21  0  50964 49127284 496056 11067480    0    0     0     0 21337  583 87  0 13  0  0	
21  0  50964 49131004 496056 11067480    0    0     0     0 21414  479 88  0 12  0  0	
 0  0  50964 49131692 496056 11067480    0    0     0     0 21059  611 87  0 13  0  0	
21  0  50964 49131444 496056 11067480    0    0     0     0 18282 1137 75  0 25  0  0	
21  0  50964 49131544 496056 11067480    0    0     0     0 21206  485 87  0 13  0  0	
