procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50932 48668308 497932 11149980    0    0     0     1    0    0  2  0 98  0  0	
 2  0  50932 48620224 497932 11150036    0    0     0    72 4772 12837  8  1 92  0  0	
22  0  50932 48612416 497932 11150004    0    0     0     0 21485 3231 80  0 20  0  0	
22  0  50932 48611952 497932 11150004    0    0     0    56 22556  656 91  0  9  0  0	
22  0  50932 48612752 497932 11150004    0    0     0    12 22615  492 92  0  8  0  0	
22  0  50932 48610956 497932 11150004    0    0     0     0 20402 3009 80  0 20  0  0	
22  0  50932 48611400 497932 11150004    0    0     0    24 22514  483 92  0  8  0  0	
22  0  50932 48611628 497932 11150004    0    0     0     0 22422  635 92  0  8  0  0	
22  0  50932 48611504 497932 11150004    0    0     0    16 20306 1231 82  0 18  0  0	
22  0  50932 48611660 497932 11150004    0    0     0     0 22387  474 92  0  8  0  0	
22  0  50932 48611804 497932 11150004    0    0     0     0 22241  477 92  0  8  0  0	
22  0  50932 48612056 497932 11150004    0    0     0    24 20105  919 82  0 18  0  0	
22  0  50932 48611808 497932 11150004    0    0     0     0 22331  640 91  0  9  0  0	
22  0  50932 48611808 497932 11150004    0    0     0    12 22703  627 92  0  8  0  0	
22  0  50932 48609828 497932 11150004    0    0     0     0 21366  824 82  0 18  0  0	
22  0  50932 48610076 497932 11150008    0    0     0     0 21645  663 89  0 11  0  0	
22  0  50932 48611688 497932 11150008    0    0     0    24 23639  645 92  0  8  0  0	
 0  0  50932 48611864 497932 11150008    0    0     0     0 21956  534 90  0 10  0  0	
22  0  50932 48611616 497932 11150008    0    0     0     0 20586  933 84  0 16  0  0	
22  0  50932 48611740 497932 11150008    0    0     0     8 22385  477 92  0  8  0  0	
22  0  50932 48611776 497932 11150008    0    0     0     0 22383  475 92  0  8  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0  50932 48611284 497932 11150008    0    0     0    44 19714 1075 80  0 20  0  0	
22  0  50932 48611532 497932 11150008    0    0     0    12 22235  478 92  0  8  0  0	
22  0  50932 48611524 497932 11150008    0    0     0    16 22537  614 92  0  8  0  0	
22  0  50932 48609420 497932 11150008    0    0     0     0 20667 1101 80  0 20  0  0	
22  0  50932 48609544 497932 11150008    0    0     0     0 22237  609 91  0  9  0  0	
22  0  50932 48609916 497932 11150008    0    0     0    28 22405  491 92  0  8  0  0	
22  0  50932 48604216 497932 11150008    0    0     0     0 21739  784 82  0 18  0  0	
22  0  50932 48603968 497932 11150008    0    0     0    56 22199  513 91  0  9  0  0	
22  0  50932 48603844 497932 11150012    0    0     0    84 22636  590 92  0  8  0  0	
22  0  50932 48603844 497932 11150012    0    0     0     0 19908  701 82  0 18  0  0	
22  0  50932 48603968 497932 11150012    0    0     0    40 22594  619 91  0  9  0  0	
22  0  50932 48604096 497932 11150012    0    0     0     0 22413  470 92  0  8  0  0	
 1  0  50932 48604096 497932 11150012    0    0     0    72 22582  884 90  0 10  0  0	
22  0  50932 48603976 497932 11150012    0    0     0    28 19444  823 80  0 20  0  0	
22  0  50932 48603852 497932 11150012    0    0     0     0 21564  556 88  0 12  0  0	
22  0  50932 48603976 497932 11150012    0    0     0    44 22275  532 92  0  8  0  0	
22  0  50932 48603988 497932 11150012    0    0     0     0 19638  813 80  0 20  0  0	
22  0  50932 48603864 497932 11150012    0    0     0   108 22610  494 92  0  8  0  0	
22  0  50932 48603864 497932 11150012    0    0     0     0 22235  468 92  0  8  0  0	
22  0  50932 48603744 497932 11150012    0    0     0     0 19017  921 78  0 22  0  0	
22  0  50932 48603744 497932 11150016    0    0     0    36 20633  799 85  0 15  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0  50932 48603868 497932 11150016    0    0     0     0 21715  530 89  0 11  0  0	
22  0  50932 48603860 497932 11150020    0    0     0    20 20140  827 82  0 18  0  0	
22  0  50932 48603860 497932 11150020    0    0     0     0 22354  599 92  0  8  0  0	
22  0  50932 48603984 497932 11150020    0    0     0     0 22285  478 92  0  8  0  0	
22  0  50932 48603984 497932 11150020    0    0     0    32 20029  765 82  0 18  0  0	
22  0  50932 48603864 497932 11150020    0    0     0     0 22443  599 91  0  9  0  0	
22  0  50932 48603988 497932 11150020    0    0     0     0 22270  513 92  0  8  0  0	
 0  0  50932 48603996 497932 11150020    0    0     0    20 22080  550 90  0 10  0  0	
22  0  50932 48604000 497932 11150020    0    0     0     0 20349  853 83  0 17  0  0	
22  0  50932 48604124 497932 11150020    0    0     0    44 22469  612 91  0  9  0  0	
22  0  50932 48604124 497932 11150020    0    0     0     0 22249  473 92  0  8  0  0	
22  0  50932 48604116 497932 11150020    0    0     0    16 19490  897 79  0 21  0  0	
22  0  50932 48604120 497932 11150020    0    0     0     0 21611  528 89  0 11  0  0	
22  0  50932 48604120 497932 11150020    0    0     0     0 22430  473 92  0  8  0  0	
22  0  50932 48604116 497932 11150020    0    0     0    32 20197  759 82  0 18  0  0	
22  0  50932 48604124 497932 11150020    0    0     0     0 22276  602 91  0  9  0  0	
22  0  50932 48604124 497932 11150020    0    0     0    12 22300  490 92  0  8  0  0	
23  0  50932 48604124 497932 11150024    0    0     0     0 20227  825 82  0 18  0  0	
22  0  50932 48604164 497932 11150024    0    0     0     0 22317  550 92  0  8  0  0	
23  0  50932 48604164 497932 11150024    0    0     0    32 22452  479 92  0  8  0  0	
24  0  50932 48588168 497932 11150024    0    0     0     0 23328  745 82  0 18  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0  50932 48579052 497932 11150024    0    0     0    60 23991  776 91  0  9  0  0	
22  0  50932 48578928 497932 11150024    0    0     0    60 22238  505 92  0  8  0  0	
 0  0  50932 48579052 497932 11150024    0    0     0     0 22081  578 90  0 10  0  0	
22  0  50932 48599004 497932 11150024    0    0     0    44 13212 9438 38  1 61  0  0	
22  0  50932 48597336 497932 11150024    0    0     0     0 22513  756 92  0  8  0  0	
22  0  50932 48597348 497932 11150024    0    0     0    16 22261  477 92  0  8  0  0	
22  0  50932 48597188 497932 11150024    0    0     0     0 20219 2128 81  0 19  0  0	
22  0  50932 48597296 497932 11150024    0    0     0     0 22377  601 92  0  8  0  0	
22  0  50932 48597376 497932 11150024    0    0     0    76 22505  507 92  0  8  0  0	
 0  0  50932 48597584 497932 11150024    0    0     0     0 20848  634 85  0 15  0  0	
22  0  50932 48597628 497932 11150024    0    0     0     0 21684 1166 88  0 12  0  0	
22  0  50932 48597628 497932 11150024    0    0     0     0 22482  469 92  0  8  0  0	
22  0  50932 48597876 497932 11150024    0    0     0     0 22427  472 92  0  8  0  0	
22  0  50932 48597632 497932 11150024    0    0     0    32 20139 1081 82  0 18  0  0	
22  0  50932 48597704 497932 11150024    0    0     0     0 22650  604 91  0  8  0  0	
23  0  50932 48597828 497932 11150024    0    0     0     0 22430  468 92  0  8  0  0	
22  0  50932 48595724 497932 11150024    0    0     0     4 21018  868 81  0 19  0  0	
22  0  50932 48595724 497932 11150024    0    0     0     0 21899  644 89  0 11  0  0	
22  0  50932 48597972 497932 11150024    0    0     0    32 23686  483 92  0  8  0  0	
22  0  50932 48597520 497932 11150024    0    0     0    12 20291 1024 82  0 18  0  0	
22  0  50932 48597512 497932 11150024    0    0     0    20 22416  615 92  0  8  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0  50932 48597572 497932 11150028    0    0     0     0 22266  651 92  0  8  0  0	
22  0  50932 48597576 497932 11150032    0    0     0     0 19995  944 82  0 18  0  0	
22  0  50932 48600304 497932 11150032    0    0     0    48 22379  483 92  0  8  0  0	
22  0  50932 48600304 497932 11150032    0    0     0     0 22249  476 92  0  8  0  0	
 0  0  50932 48600304 497932 11150032    0    0     0    12 20865  643 86  0 14  0  0	
22  0  50932 48597572 497932 11150036    0    0     0    16 22385  928 88  0 12  0  0	
22  0  50932 48597572 497932 11150036    0    0     0     0 22331  480 92  0  8  0  0	
22  0  50932 48598192 497932 11150036    0    0     0    28 22355  479 92  0  8  0  0	
22  0  50932 48592104 497932 11150036    0    0     0     0 21282  893 79  0 21  0  0	
22  0  50932 48592208 497932 11150036    0    0     0    28 22196  784 90  0 10  0  0	
22  0  50932 48592332 497936 11150036    0    0     0    68 22336  497 92  0  8  0  0	
22  0  50932 48592208 497936 11150036    0    0     0     0 19947  894 82  0 18  0  0	
23  0  50932 48592828 497936 11150036    0    0     0    40 22566  527 92  0  8  0  0	
22  0  50932 48592852 497936 11150036    0    0     0     0 22310  472 92  0  8  0  0	
