#consumed-cpu number-of-readers number-of-writers direct-reads direct-reads-mean-error direct-writes direct-writes-mean-error direct-volatile-reads direct-volatile-reads-mean-error direct-volatile-writes direct-volatile-writes-mean-error synchronized-reads synchronized-reads-mean-error synchronized-writes synchronized-writes-mean-error reentrant-read-write-lock-reads reentrant-read-write-lock-reads-mean-error reentrant-read-write-lock-writes reentrant-read-write-lock-writes-mean-error atomic-reads atomic-reads-mean-error atomic-writes atomic-writes-mean-error adder-reads adder-reads-mean-error adder-writes adder-writes-mean-error stamped-reads stamped-reads-mean-error stamped-writes stamped-writes-mean-error
20 2 2 7144,173 1408,910 4802,189 262,332 8639,018 1065,560 4238,298 249,454 1722,490 148,328 395,901 43,479 606,315 44,630 1075,690 30,358 6560,983 560,093 5040,410 362,856 8320,181 976,820 6505,413 232,142 2967,726 471,794 476,296 38,686 
20 3 3 6747,444 750,155 5306,526 296,304 9998,395 880,929 4504,219 212,858 2003,903 99,046 304,229 55,708 777,227 28,896 1088,661 31,415 6671,883 403,627 5186,987 289,937 7669,886 524,021 9637,633 332,873 2467,216 179,670 277,714 13,402 
20 4 4 7398,122 606,135 5600,488 313,862 11273,952 388,569 4715,341 140,430 1939,074 140,456 329,976 78,261 750,482 24,588 1035,915 15,611 6550,875 401,782 5544,677 158,554 8322,481 377,981 12688,782 302,623 2905,745 169,341 253,760 9,673 
20 5 5 7229,792 438,908 5206,473 154,233 10225,631 1105,546 4605,528 208,824 1855,345 130,876 378,338 48,112 770,581 21,371 1046,411 18,117 6574,755 213,384 5472,212 160,608 7940,106 343,815 15622,440 401,844 2725,225 98,781 227,342 6,074 
20 6 6 7901,648 591,981 5401,561 155,013 11003,074 1116,421 4680,624 171,795 1849,625 90,178 414,334 57,649 782,628 26,427 1021,076 14,754 6873,730 252,583 5707,742 122,913 7940,436 415,340 18521,278 500,469 2687,388 95,237 191,907 5,499 
20 7 7 8610,593 435,976 6255,520 660,797 13111,360 533,812 5048,857 235,586 1947,935 143,539 402,086 66,270 797,784 22,912 1032,877 23,475 7907,409 354,073 6127,002 177,348 7434,542 332,621 19329,127 962,913 2734,681 138,459 166,845 4,927 
20 8 8 9582,062 440,259 6118,772 233,117 14217,668 1410,390 5603,896 190,086 1914,112 89,510 408,797 37,618 822,241 24,994 1024,679 19,080 8757,001 416,846 6599,004 248,444 6434,896 806,929 19373,618 1279,965 2670,955 99,299 142,935 4,298 
20 9 9 10524,187 401,828 6617,890 253,155 13580,484 1675,800 5541,632 251,893 1956,885 112,714 419,101 51,468 747,536 28,540 996,494 19,782 9950,858 502,950 7069,385 303,703 7143,547 633,031 21057,852 2095,197 2457,296 83,528 121,927 3,239 
20 10 10 11311,995 616,106 9087,546 2518,733 17371,531 723,147 6170,627 338,935 1875,646 83,637 474,248 26,886 764,833 18,040 957,817 19,533 10575,429 436,160 7570,889 287,412 7066,017 515,498 24553,286 1352,672 2451,965 94,618 110,406 2,623 
20 11 11 11678,132 391,497 6949,439 222,346 19027,843 1329,927 6583,708 306,634 1929,092 86,950 479,601 43,346 792,499 20,109 965,656 23,227 11607,917 287,675 7928,267 318,235 6846,637 791,044 22953,072 1896,668 2889,837 145,785 98,611 2,615 
20 12 12 12025,921 404,985 7125,831 246,960 19524,214 671,192 6753,596 306,791 2117,824 51,932 391,732 37,341 812,134 18,553 962,469 28,019 12318,310 410,772 8149,769 371,381 7021,497 1061,592 23651,793 2921,290 4035,623 409,845 90,576 2,299 
