1 1 1 75926,800 7662,162 25658,716 7638,996 72936,151 9954,247 10514,888 3087,710 3809,220 1213,728 2864,136 948,224 908,571 377,476 2476,545 333,706 79471,301 9996,688 16195,201 3382,030 73873,138 7693,199 9925,036 2115,975 13061,004 5007,425 1898,602 289,587 
1 1 2 42582,718 9100,477 45194,836 8605,813 41126,731 12025,894 10351,812 1880,339 2217,972 444,009 4340,687 438,088 37,761 4,132 5959,936 567,454 52068,149 8821,375 21716,679 3046,958 15275,057 3711,975 39579,439 5330,341 6073,024 1824,474 1299,192 174,630 
1 1 3 27648,033 5955,940 101171,173 49675,674 28356,969 5961,295 12231,716 1753,991 917,234 139,897 2819,190 196,271 22,932 1,894 6215,024 328,088 31269,565 2930,870 25697,768 2204,564 6011,546 920,396 62722,261 5893,043 8938,572 1334,099 669,342 69,795 
1 1 4 26273,712 2942,861 113403,899 67541,150 24758,377 3478,334 14049,822 1074,580 660,715 96,279 2801,908 175,337 18,196 1,112 6012,019 320,720 27276,214 3578,781 24282,355 2142,725 4009,359 277,793 89981,295 6466,039 7544,899 682,207 564,720 30,525 
1 1 5 18065,659 4186,943 134390,024 82236,083 18563,606 1071,665 14866,132 744,708 600,521 67,651 3086,410 203,625 14,318 0,401 6185,653 294,655 24060,386 3077,864 23741,844 1738,217 3184,219 272,042 113772,801 6262,959 4785,615 397,152 519,184 19,222 
1 1 6 17678,255 1818,504 49541,764 2122,795 16177,551 1683,879 14406,144 698,508 519,971 79,315 3233,109 142,549 12,156 0,356 6603,322 340,930 20359,012 2160,850 22353,414 1682,255 2706,693 132,196 142278,115 6889,755 4559,281 239,443 499,058 16,969 
1 1 7 9676,656 2903,332 186802,431 132985,312 14134,288 1532,107 14687,381 613,055 444,674 54,777 3501,132 123,270 10,643 0,203 6567,778 321,079 16439,281 1718,391 24508,362 2047,889 2408,670 163,527 161395,516 10804,969 4386,985 225,536 486,105 19,306 
1 1 8 12460,215 1059,594 50184,032 1734,081 10590,400 2206,649 12772,471 1639,452 396,546 65,629 3482,921 105,509 9,402 0,187 6535,143 373,839 15035,417 1658,342 23969,455 2078,538 2186,935 117,527 200492,366 7002,559 4051,868 290,272 410,143 11,667 
1 1 9 9377,023 1948,284 177403,386 145329,572 8478,546 1746,818 12418,074 1680,509 378,035 64,592 3544,620 100,131 8,152 0,112 6837,734 294,771 11503,493 967,007 24902,621 1520,775 1780,082 155,359 209916,449 18021,305 3494,818 241,788 395,946 15,971 
1 1 10 9705,130 873,967 101615,563 103617,873 10156,879 783,469 14056,883 460,920 363,443 63,424 3608,353 120,811 7,657 0,128 6473,684 331,827 11056,458 910,768 25697,613 1538,821 1795,214 99,772 243796,994 9069,239 3035,874 226,751 349,077 12,765 
1 1 11 9286,305 930,903 229021,050 181322,369 8755,046 704,184 13996,380 434,833 324,855 39,534 3603,436 124,035 6,972 0,104 6487,039 234,396 9116,659 819,848 26032,032 1651,933 1542,663 127,438 269024,117 14373,909 2621,009 114,862 315,682 9,872 
