procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50932 48682000 497760 11134316    0    0     0     1    0    0  2  0 98  0  0	
 1  0  50932 48633800 497760 11134308    0    0     0     0 4582 12629  7  1 92  0  0	
 2  0  50932 48625488 497760 11134340    0    0     0    72 22606 3470 84  0 16  0  0	
24  0  50932 48625620 497760 11134340    0    0     0     0 23333  631 96  0  4  0  0	
24  0  50932 48626444 497760 11134340    0    0     0     0 23460  569 96  0  4  0  0	
24  0  50932 48624440 497760 11134340    0    0     0    56 21314 2746 85  0 15  0  0	
24  0  50932 48624640 497760 11134344    0    0     0    44 24066  817 98  0  2  0  0	
24  0  50932 48625040 497760 11134344    0    0     0     0 24267  529 100  0  0  0  0	
24  0  50932 48625184 497760 11134344    0    0     0     0 21750 1373 89  0 11  0  0	
24  0  50932 48624812 497760 11134344    0    0     0     0 24231  478 100  0  0  0  0	
24  0  50932 48625184 497760 11134344    0    0     0     0 24213  472 100  0  0  0  0	
24  0  50932 48623828 497760 11134344    0    0     0    20 22994 1245 89  0 11  0  0	
24  0  50932 48622712 497760 11134344    0    0     0     8 24153  619 99  0  1  0  0	
24  0  50932 48623100 497760 11134344    0    0     0     0 24209  475 100  0  0  0  0	
24  0  50932 48623100 497760 11134344    0    0     0     0 21631  967 89  0 11  0  0	
24  0  50932 48622976 497760 11134344    0    0     0    12 22768  783 93  0  7  0  0	
24  0  50932 48623328 497760 11134344    0    0     0    48 23753  732 96  0  4  0  0	
 1  0  50932 48622204 497760 11134344    0    0     0     0 24198  733 96  0  4  0  0	
24  0  50932 48620964 497760 11134344    0    0     0     0 21599  796 89  0 11  0  0	
24  0  50932 48621196 497760 11134344    0    0     0     0 24239  519 100  0  0  0  0	
24  0  50932 48621196 497760 11134344    0    0     0     0 24225  468 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0  50932 48621688 497760 11134344    0    0     0    44 21696 1211 87  0 13  0  0	
24  0  50932 48622060 497760 11134348    0    0     0     0 23275  681 96  0  4  0  0	
24  0  50932 48622184 497760 11134348    0    0     0     0 23364  571 96  0  4  0  0	
24  0  50932 48616232 497760 11134348    0    0     0     0 22385 1058 83  0 17  0  0	
