procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  51048 54482300 476356 6422376    0    0     0     1    0    0  1  0 99  0  0	
 1  0  51048 54439616 476356 6422352    0    0     0     0 4528 13211  7  1 92  0  0	
38  0  51048 54430600 476356 6422372    0    0     0     0 25948 4257 96  0  4  0  0	
38  0  51048 54429856 476356 6422400    0    0     0     0 24264 1818 100  0  0  0  0	
38  0  51048 54430568 476356 6422400    0    0     0    40 24262 1850 100  0  0  0  0	
38  0  51048 54428036 476356 6422400    0    0     0   104 25255 5462 97  0  3  0  0	
38  0  51048 54426904 476356 6422400    0    0     0     0 24365 1843 100  0  0  0  0	
38  0  51048 54427040 476356 6422400    0    0     0     0 24331 2015 100  0  0  0  0	
38  0  51048 54426568 476356 6422400    0    0     0     8 25172 2769 99  0  1  0  0	
38  0  51048 54426320 476356 6422400    0    0     0    40 24570 2181 100  0  0  0  0	
38  0  51048 54426468 476356 6422400    0    0     0     0 24251 1839 100  0  0  0  0	
38  0  51048 54425724 476356 6422400    0    0     0    20 24661 2626 99  0  1  0  0	
38  0  51048 54425724 476356 6422400    0    0     0     0 24254 1846 100  0  0  0  0	
38  0  51048 54425856 476356 6422400    0    0     0    12 24260 1858 100  0  0  0  0	
38  0  51048 54423252 476356 6422400    0    0     0    32 25333 2671 98  0  2  0  0	
38  0  51048 54422880 476356 6422404    0    0     0     0 24253 1883 100  0  0  0  0	
38  0  51048 54423020 476356 6422404    0    0     0    20 24329 1875 100  0  0  0  0	
38  0  51048 54419300 476356 6422404    0    0     0     0 25327 2422 97  0  2  0  0	
38  0  51048 54419548 476356 6422404    0    0     0     0 24257 1840 100  0  0  0  0	
38  0  51048 54419576 476356 6422404    0    0     0    64 24565 2166 100  0  0  0  0	
39  0  51048 54419196 476356 6422404    0    0     0     0 24201 2502 98  0  2  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
38  0  51048 54419780 476356 6422404    0    0     0    36 24529 1857 100  0  0  0  0	
38  0  51048 54419780 476356 6422404    0    0     0     0 24265 1830 100  0  0  0  0	
38  0  51048 54419876 476356 6422404    0    0     0     0 24169 2544 99  0  1  0  0	
38  0  51048 54419636 476356 6422404    0    0     0    96 24291 1889 100  0  0  0  0	
38  0  51048 54419760 476356 6422404    0    0     0     0 24246 1830 100  0  0  0  0	
38  0  51048 54419760 476356 6422404    0    0     0     0 24224 2211 100  0  0  0  0	
38  0  51048 54419512 476356 6422404    0    0     0    20 24256 1853 100  0  0  0  0	
38  0  51048 54419636 476356 6422404    0    0     0     0 24266 1825 100  0  0  0  0	
38  0  51048 54419268 476356 6422404    0    0     0    80 24563 2423 100  0  0  0  0	
38  0  51048 54419012 476356 6422404    0    0     0     0 24268 1839 100  0  0  0  0	
38  0  51048 54419136 476356 6422404    0    0     0     0 24265 1830 100  0  0  0  0	
38  0  51048 54419136 476356 6422404    0    0     0    20 24181 2475 99  0  1  0  0	
38  0  51048 54418888 476356 6422404    0    0     0   756 24496 2200 100  0  0  0  0	
38  0  51048 54418756 476356 6422404    0    0     0   160 24529 1868 100  0  0  0  0	
38  0  51048 54418756 476356 6422404    0    0     0    48 24326 2379 99  0  1  0  0	
38  0  51048 54418392 476356 6422404    0    0     0     0 24330 1830 100  0  0  0  0	
38  0  51048 54418392 476356 6422404    0    0     0     0 24244 1818 100  0  0  0  0	
38  0  51048 54410340 476356 6422404    0    0     0    36 26463 2342 99  0  1  0  0	
38  0  51048 54410216 476356 6422404    0    0     0    32 24611 2240 100  0  0  0  0	
38  0  51048 54410300 476356 6422404    0    0     0     0 24264 1807 100  0  0  0  0	
38  0  51048 54410672 476356 6422404    0    0     0    20 24560 2098 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
38  0  51048 54410920 476356 6422404    0    0     0     0 24279 1829 100  0  0  0  0	
38  0  51048 54410920 476356 6422408    0    0     0    44 24266 1829 100  0  0  0  0	
38  0  51048 54397908 476356 6422408    0    0     0    32 24298 2320 100  0  0  0  0	
38  0  51048 54398280 476356 6422408    0    0     0     0 24248 1826 100  0  0  0  0	
38  0  51048 54402372 476356 6422408    0    0     0     0 24270 1832 100  0  0  0  0	
38  0  51048 54402496 476356 6422408    0    0     0     0 24177 2144 100  0  0  0  0	
38  0  51048 54402620 476356 6422408    0    0     0     0 24261 1849 100  0  0  0  0	
38  0  51048 54402620 476356 6422408    0    0     0    72 24572 2197 100  0  0  0  0	
38  0  51048 54402736 476356 6422408    0    0     0     0 24204 2094 100  0  0  0  0	
38  0  51048 54402860 476356 6422408    0    0     0    16 24247 1858 100  0  0  0  0	
38  0  51048 54402860 476356 6422408    0    0     0     0 24270 1844 100  0  0  0  0	
38  0  51048 54402984 476356 6422408    0    0     0     0 24176 2266 99  0  1  0  0	
38  0  51048 54402736 476356 6422408    0    0     0    96 24285 1884 100  0  0  0  0	
38  0  51048 54402736 476356 6422408    0    0     0     0 24250 1835 100  0  0  0  0	
38  0  51048 54402496 476356 6422408    0    0     0     0 24313 2197 100  0  0  0  0	
38  0  51048 54402372 476356 6422408    0    0     0     0 24249 1871 100  0  0  0  0	
38  0  51048 54402248 476356 6422408    0    0     0     0 24256 1851 100  0  0  0  0	
38  0  51048 54402372 476356 6422412    0    0     0    76 24357 2480 99  0  1  0  0	
38  0  51048 54402484 476356 6422412    0    0     0    36 24263 1869 100  0  0  0  0	
38  0  51048 54402484 476356 6422412    0    0     0     0 24288 1849 100  0  0  0  0	
38  0  51048 54413980 476356 6422412    0    0     0     0 19633 11058 60  1 40  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
38  0  51048 54412104 476356 6422412    0    0     0     0 24181 2033 99  0  1  0  0	
38  0  51048 54412104 476356 6422412    0    0     0   108 24247 1864 100  0  0  0  0	
38  0  51048 54412104 476356 6422412    0    0     0    32 23960 4309 97  0  2  0  0	
38  0  51048 54412136 476356 6422412    0    0     0     0 24154 2006 99  0  1  0  0	
38  0  51048 54412136 476356 6422412    0    0     0     0 24342 1837 100  0  0  0  0	
38  0  51048 54409884 476356 6422412    0    0     0     0 25300 2711 99  0  1  0  0	
38  0  51048 54409888 476356 6422412    0    0     0    44 24530 2255 100  0  0  0  0	
38  0  51048 54410004 476356 6422412    0    0     0     0 24247 1842 100  0  0  0  0	
38  0  51048 54408640 476356 6422412    0    0     0    40 24861 2719 99  0  1  0  0	
38  0  51048 54407408 476356 6422412    0    0     0     0 24238 1818 100  0  0  0  0	
38  0  51048 54407596 476356 6422412    0    0     0     0 24248 1815 100  0  0  0  0	
38  0  51048 54405860 476356 6422412    0    0     0    32 25158 2460 99  0  1  0  0	
38  0  51048 54405984 476356 6422412    0    0     0     0 24243 1831 100  0  0  0  0	
38  0  51048 54406124 476356 6422412    0    0     0    24 24242 1854 100  0  0  0  0	
39  0  51048 54404024 476356 6422412    0    0     0    16 24958 2352 99  0  1  0  0	
38  0  51048 54403032 476356 6422412    0    0     0     8 24644 1986 100  0  0  0  0	
38  0  51048 54403032 476356 6422412    0    0     0    48 24552 2100 100  0  0  0  0	
26  0  51048 54402768 476356 6422412    0    0     0     0 24212 2338 100  0  0  0  0	
38  0  51048 54402520 476356 6422412    0    0     0    24 24247 1975 99  0  1  0  0	
38  0  51048 54403884 476356 6422412    0    0     0     0 24535 1806 100  0  0  0  0	
35  0  51048 54404208 476356 6422412    0    0     0     0 24155 1837 99  0  1  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
38  0  51048 54404224 476356 6422412    0    0     0    64 24156 2511 99  0  1  0  0	
38  0  51048 54404356 476356 6422412    0    0     0     0 24261 1832 100  0  0  0  0	
38  0  51048 54404480 476356 6422416    0    0     0     0 24251 1859 100  0  0  0  0	
38  0  51048 54404480 476356 6422416    0    0     0    40 24306 2346 99  0  1  0  0	
38  0  51048 54404604 476356 6422416    0    0     0     0 24232 1832 100  0  0  0  0	
38  0  51048 54404604 476356 6422416    0    0     0    96 24539 2157 100  0  0  0  0	
38  0  51048 54404224 476356 6422416    0    0     0     0 24214 2212 99  0  1  0  0	
38  0  51048 54404348 476356 6422416    0    0     0     0 24231 1842 100  0  0  0  0	
38  0  51048 54404348 476356 6422416    0    0     0    24 24356 1904 100  0  0  0  0	
38  0  51048 54404472 476356 6422416    0    0     0   756 24327 2685 99  0  1  0  0	
38  0  51048 54404588 476356 6422416    0    0     0    72 24504 1842 100  0  0  0  0	
38  0  51048 54404464 476356 6422416    0    0     0    36 24343 1846 100  0  0  0  0	
38  0  51048 54404596 476356 6422416    0    0     0     0 24346 2360 99  0  1  0  0	
38  0  51048 54404728 476356 6422416    0    0     0    36 24279 1829 100  0  0  0  0	
38  0  51048 54404728 476356 6422416    0    0     0     0 24263 1833 100  0  0  0  0	
38  0  51048 54389476 476356 6422416    0    0     0    56 28844 2636 99  0  1  0  0	
38  0  51048 54389540 476356 6422416    0    0     0     0 24260 1812 100  0  0  0  0	
38  0  51048 54389664 476356 6422416    0    0     0    16 24260 1823 100  0  0  0  0	
38  0  51048 54390284 476356 6422420    0    0     0    28 24666 2120 100  0  0  0  0	
38  0  51048 54390160 476356 6422424    0    0     0     0 24260 1834 100  0  0  0  0	
38  0  51048 54390168 476356 6422424    0    0     0    48 24362 2101 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
38  0  51048 54390332 476356 6422424    0    0     0     0 24183 2078 100  0  0  0  0	
38  0  51048 54390332 476356 6422424    0    0     0     0 24245 1833 100  0  0  0  0	
38  0  51048 54392564 476356 6422424    0    0     0     0 24329 1870 100  0  0  0  0	
38  0  51048 54392652 476356 6422424    0    0     0    20 24073 2344 99  0  1  0  0	
38  0  51048 54392528 476356 6422424    0    0     0    60 24564 2125 100  0  0  0  0	
38  0  51048 54392520 476356 6422424    0    0     0     0 24252 1835 100  0  0  0  0	
38  0  51048 54394256 476356 6422424    0    0     0     0 24178 2040 99  0  0  0  0	
38  0  51048 54394256 476356 6422424    0    0     0     0 24263 1830 100  0  0  0  0	
38  0  51048 54394256 476356 6422424    0    0     0    36 24281 1895 100  0  0  0  0	
38  0  51048 54394256 476356 6422424    0    0     0    52 24000 2075 99  0  1  0  0	
38  0  51048 54394380 476356 6422424    0    0     0     0 24258 1835 100  0  0  0  0	
38  0  51048 54394404 476356 6422424    0    0     0     0 24282 1875 100  0  0  0  0	
38  0  51048 54394404 476356 6422424    0    0     0     0 24175 2097 100  0  0  0  0	
38  0  51048 54394404 476356 6422424    0    0     0     0 24265 1805 100  0  0  0  0	
38  0  51048 54394528 476356 6422424    0    0     0   104 24571 2174 100  0  0  0  0	
38  0  51048 54394520 476356 6422424    0    0     0    12 24114 2240 99  0  1  0  0	
38  0  51048 54394644 476356 6422424    0    0     0     0 24242 1827 100  0  0  0  0	
38  0  51048 54394644 476356 6422424    0    0     0     0 24301 1857 100  0  0  0  0	
38  0  51048 54411140 476356 6422452    0    0     0     0 19146 10152 63  0 37  0  0	
38  0  51048 54410048 476356 6422424    0    0     0   108 24281 2041 100  0  0  0  0	
38  0  51048 54410048 476356 6422424    0    0     0     0 24252 1844 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
38  0  51048 54410068 476356 6422424    0    0     0     0 23975 4473 98  0  2  0  0	
38  0  51048 54410076 476356 6422424    0    0     0     0 24254 1977 100  0  0  0  0	
38  0  51048 54410280 476356 6422424    0    0     0     0 24346 1864 100  0  0  0  0	
38  0  51048 54408348 476356 6422428    0    0     0    32 25181 2861 99  0  1  0  0	
38  0  51048 54408104 476356 6422428    0    0     0    24 24286 2004 100  0  0  0  0	
38  0  51048 54408160 476356 6422428    0    0     0     0 24263 1839 100  0  0  0  0	
38  0  51048 54407788 476356 6422428    0    0     0     0 24681 2439 99  0  1  0  0	
38  0  51048 54407688 476356 6422428    0    0     0     0 24299 1972 100  0  0  0  0	
38  0  51048 54407688 476356 6422428    0    0     0    64 24287 1881 100  0  0  0  0	
38  0  51048 54401984 476356 6422428    0    0     0    28 26434 2500 99  0  1  0  0	
