procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50932 48660736 497992 11155428    0    0     0     1    0    0  2  0 98  0  0	
 1  0  50932 48613132 497992 11155476    0    0     0     0 4583 13083  7  1 92  0  0	
17  0  50932 48606100 497992 11155452    0    0     0     0 18086 2573 68  0 32  0  0	
17  0  50932 48605976 497992 11155452    0    0     0     0 17474  488 71  0 29  0  0	
17  0  50932 48606772 497992 11155452    0    0     0    68 17490  619 71  0 29  0  0	
17  0  50932 48606464 497992 11155452    0    0     0    16 15878 2591 63  0 37  0  0	
17  0  50932 48606588 497992 11155452    0    0     0    56 17481  511 71  0 29  0  0	
17  0  50932 48606464 497992 11155452    0    0     0     0 17258  487 71  0 29  0  0	
17  0  50932 48606948 497992 11155452    0    0     0     0 15041 1010 61  0 39  0  0	
17  0  50932 48607044 497992 11155452    0    0     0    28 16442  570 67  0 33  0  0	
17  0  50932 48607140 497992 11155452    0    0     0    48 17277  666 71  0 29  0  0	
17  0  50932 48607388 497992 11155452    0    0     0     0 15295  976 62  0 38  0  0	
17  0  50932 48607148 497992 11155452    0    0     0     0 16972  614 69  0 31  0  0	
17  0  50932 48607228 497992 11155452    0    0     0     0 17382  489 71  0 29  0  0	
17  0  50932 48607380 497992 11155452    0    0     0     0 15673  873 64  0 36  0  0	
17  0  50932 48607380 497992 11155452    0    0     0    28 17481  592 71  0 29  0  0	
17  0  50932 48607620 497992 11155452    0    0     0    12 17249  506 71  0 29  0  0	
 0  0  50932 48607744 497992 11155452    0    0     0     0 16643  706 68  0 32  0  0	
17  0  50932 48605392 497992 11155452    0    0     0     0 17595  781 67  0 33  0  0	
17  0  50932 48605716 497992 11155452    0    0     0     0 17275  477 71  0 29  0  0	
17  0  50932 48605840 497992 11155452    0    0     0    44 17401  498 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  50932 48607224 497992 11155456    0    0     0     0 16775  664 64  0 36  0  0	
17  0  50932 48607472 497992 11155456    0    0     0     0 17242  459 71  0 29  0  0	
17  0  50932 48607472 497992 11155456    0    0     0     0 17395  527 71  0 29  0  0	
17  0  50932 48607176 497992 11155456    0    0     0     0 15697  966 64  0 36  0  0	
17  0  50932 48607044 497992 11155456    0    0     0    56 17297  693 71  0 29  0  0	
17  0  50932 48607044 497992 11155456    0    0     0    12 17351  565 71  0 29  0  0	
17  0  50932 48607044 497992 11155456    0    0     0     0 15691  946 64  0 36  0  0	
17  0  50932 48607044 497992 11155456    0    0     0     0 17225  464 71  0 29  0  0	
17  0  50932 48607044 497992 11155456    0    0     0     0 17252  476 71  0 29  0  0	
17  0  50932 48607168 497992 11155456    0    0     0     0 15544  710 64  0 36  0  0	
17  0  50932 48607176 497992 11155456    0    0     0    36 17445  696 71  0 29  0  0	
17  0  50932 48607176 497992 11155456    0    0     0     0 17279  675 71  0 29  0  0	
 1  0  50932 48607176 497992 11155456    0    0     0     0 16485  529 68  0 32  0  0	
17  0  50932 48605812 497992 11155456    0    0     0     0 16451 1061 67  0 33  0  0	
18  0  50932 48605936 497992 11155456    0    0     0   148 17488  531 71  0 29  0  0	
17  0  50932 48606052 497992 11155456    0    0     0    36 17311  507 71  0 29  0  0	
17  0  50932 48606052 497992 11155456    0    0     0     0 15570  685 64  0 36  0  0	
17  0  50932 48606052 497992 11155456    0    0     0     0 17339  575 71  0 29  0  0	
18  0  50932 48606060 497992 11155456    0    0     0     0 17237  469 71  0 29  0  0	
17  0  50932 48606060 497992 11155460    0    0     0    68 15721  836 64  0 36  0  0	
18  0  50932 48606060 497992 11155460    0    0     0    32 17258  498 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48606184 497992 11155460    0    0     0     0 17276  494 71  0 29  0  0	
17  0  50932 48606184 497992 11155464    0    0     0     0 15731  907 64  0 36  0  0	
17  0  50932 48606184 497992 11155464    0    0     0     0 17364  581 71  0 29  0  0	
18  0  50932 48606300 497992 11155464    0    0     0    16 17254  479 71  0 29  0  0	
17  0  50932 48606300 497992 11155464    0    0     0    20 15553  693 64  0 36  0  0	
17  0  50932 48606300 497992 11155464    0    0     0    28 17324  716 71  0 29  0  0	
17  0  50932 48606300 497992 11155464    0    0     0     0 17259  463 71  0 29  0  0	
 1  0  50932 48606300 497992 11155464    0    0     0     0 16707  540 68  0 32  0  0	
17  0  50932 48606176 497992 11155464    0    0     0    16 16520  765 67  0 33  0  0	
17  0  50932 48606184 497992 11155464    0    0     0     0 17482  490 71  0 29  0  0	
17  0  50932 48606184 497992 11155464    0    0     0    40 17471  492 71  0 29  0  0	
17  0  50932 48606164 497992 11155464    0    0     0     0 15697  824 64  0 36  0  0	
17  0  50932 48605908 497992 11155464    0    0     0     0 17396  609 71  0 29  0  0	
17  0  50932 48605908 497992 11155464    0    0     0     4 17425  704 71  0 29  0  0	
17  0  50932 48605900 497992 11155464    0    0     0     0 15552  629 64  0 36  0  0	
17  0  50932 48605652 497992 11155464    0    0     0    40 17311  589 71  0 29  0  0	
17  0  50932 48605652 497992 11155464    0    0     0     0 17308  543 71  0 29  0  0	
17  0  50932 48605652 497992 11155464    0    0     0     4 15567  720 64  0 36  0  0	
17  0  50932 48605652 497992 11155464    0    0     0     4 17366  486 71  0 29  0  0	
17  0  50932 48605660 497992 11155464    0    0     0    12 17316  500 71  0 29  0  0	
17  0  50932 48605660 497992 11155464    0    0     0     0 15748  960 64  0 36  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48605784 497992 11155464    0    0     0    44 17254  480 71  0 29  0  0	
17  0  50932 48605784 497992 11155468    0    0     0     0 17389  633 71  0 29  0  0	
 0  0  50932 48605652 497992 11155468    0    0     0    60 16657  585 68  0 32  0  0	
17  0  50932 48602616 497992 11155464    0    0     0     0 9904 9425 26  1 74  0  0	
17  0  50932 48600948 497992 11155468    0    0     0     0 17591  648 71  0 29  0  0	
17  0  50932 48600824 497992 11155468    0    0     0    48 17351  519 71  0 29  0  0	
17  0  50932 48601192 497992 11155468    0    0     0     0 15569 1860 63  0 37  0  0	
17  0  50932 48601064 497992 11155468    0    0     0    44 17391  783 71  0 29  0  0	
17  0  50932 48601028 497992 11155468    0    0     0     0 17336  525 71  0 29  0  0	
17  0  50932 48601028 497992 11155468    0    0     0     0 17245  464 71  0 29  0  0	
17  0  50932 48600988 497992 11155468    0    0     0    32 15758 1070 63  0 37  0  0	
17  0  50932 48600988 497992 11155468    0    0     0     0 17386  613 71  0 29  0  0	
17  0  50932 48601104 497992 11155468    0    0     0    40 17471  490 71  0 29  0  0	
17  0  50932 48588240 497992 11155468    0    0     0    12 16091  850 65  0 35  0  0	
17  0  50932 48587876 497992 11155468    0    0     0     0 17285  639 71  0 29  0  0	
17  0  50932 48588132 497992 11155468    0    0     0     0 17484  469 71  0 29  0  0	
17  0  50932 48588008 497992 11155468    0    0     0    32 15662  779 64  0 36  0  0	
17  0  50932 48587884 497992 11155468    0    0     0    40 17456  646 71  0 29  0  0	
17  0  50932 48595456 497992 11155468    0    0     0     0 17487  511 71  0 29  0  0	
17  0  50932 48593224 497992 11155472    0    0     0     0 16974  745 64  0 36  0  0	
18  0  50932 48593224 497992 11155472    0    0     0     0 17283  526 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48593224 497992 11155472    0    0     0    32 17517  633 71  0 29  0  0	
17  0  50932 48593340 497992 11155476    0    0     0    16 15588  866 64  0 36  0  0	
17  0  50932 48594952 497992 11155476    0    0     0     0 18613  474 71  0 29  0  0	
17  0  50932 48595124 497992 11155476    0    0     0    12 17601  480 71  0 29  0  0	
17  0  50932 48595124 497992 11155476    0    0     0     0 17595  472 71  0 29  0  0	
18  0  50932 48595124 497992 11155476    0    0     0    44 15733  771 64  0 36  0  0	
17  0  50932 48595372 497992 11155476    0    0     0     4 17489  497 71  0 29  0  0	
17  0  50932 48595372 497992 11155476    0    0     0    12 17379  476 71  0 29  0  0	
17  0  50932 48595380 497992 11155476    0    0     0     0 15665  969 64  0 36  0  0	
17  0  50932 48595504 497992 11155476    0    0     0     0 17589  464 71  0 29  0  0	
17  0  50932 48595504 497992 11155476    0    0     0     0 17703  610 71  0 29  0  0	
17  0  50932 48595620 497992 11155476    0    0     0    64 15716  775 64  0 36  0  0	
17  0  50932 48596116 497992 11155476    0    0     0     0 17413  574 71  0 29  0  0	
17  0  50932 48596180 497992 11155476    0    0     0     0 17365  485 71  0 29  0  0	
17  0  50932 48596180 497992 11155476    0    0     0     0 15546  737 64  0 36  0  0	
17  0  50932 48596212 497992 11155476    0    0     0     0 17346  469 71  0 29  0  0	
17  0  50932 48596212 497992 11155476    0    0     0   116 17611  666 71  0 29  0  0	
17  0  50932 48596212 497992 11155476    0    0     0     0 15705  885 63  0 37  0  0	
17  0  50932 48595964 497992 11155476    0    0     0     0 17267  479 71  0 29  0  0	
17  0  50932 48595592 497992 11155476    0    0     0     0 17395  592 71  0 29  0  0	
17  0  50932 48595592 497992 11155476    0    0     0     0 17544  706 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48595584 497992 11155480    0    0     0    96 15737  715 64  0 36  0  0	
17  0  50932 48595584 497992 11155480    0    0     0     0 17284  466 71  0 29  0  0	
17  0  50932 48595584 497992 11155480    0    0     0     0 17337  725 71  0 29  0  0	
17  0  50932 48595584 497992 11155484    0    0     0     0 15493  693 64  0 36  0  0	
17  0  50932 48595584 497992 11155484    0    0     0     0 17309  507 71  0 29  0  0	
17  0  50932 48595584 497992 11155484    0    0     0    48 17522  500 71  0 29  0  0	
17  0  50932 48595840 497992 11155484    0    0     0    32 15645  655 64  0 36  0  0	
17  0  50932 48595840 497992 11155484    0    0     0     0 17291  514 71  0 29  0  0	
17  0  50932 48595840 497992 11155484    0    0     0     0 17285  518 71  0 29  0  0	
17  0  50932 48595840 497992 11155484    0    0     0     0 15667  919 64  0 36  0  0	
17  0  50932 48595840 497992 11155484    0    0     0    24 17279  642 71  0 29  0  0	
17  0  50932 48595832 497992 11155484    0    0     0    44 17293  496 71  0 29  0  0	
17  0  50932 48595832 497992 11155484    0    0     0    16 15527  779 64  0 36  0  0	
17  0  50932 48595832 497992 11155484    0    0     0     0 17401  692 70  0 30  0  0	
18  0  50932 48595716 497992 11155484    0    0     0     4 17266  522 71  0 29  0  0	
17  0  50932 48595768 497992 11155484    0    0     0     4 17385  493 71  0 29  0  0	
17  0  50932 48595272 497992 11155484    0    0     0    32 15591  787 64  0 36  0  0	
17  0  50932 48595272 497992 11155484    0    0     0     0 17372  675 71  0 29  0  0	
17  0  50932 48595396 497992 11155484    0    0     0     0 17260  471 71  0 29  0  0	
17  0  50932 48595148 497992 11155484    0    0     0     0 15739  837 64  0 36  0  0	
17  0  50932 48595140 497992 11155484    0    0     0    20 17274  477 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48594892 497992 11155488    0    0     0    32 17392  513 71  0 29  0  0	
17  0  50932 48594892 497992 11155488    0    0     0     0 15644  759 64  0 36  0  0	
17  0  50932 48594892 497992 11155488    0    0     0     0 17230  463 71  0 29  0  0	
17  0  50932 48594892 497992 11155488    0    0     0     0 17307  522 71  0 29  0  0	
 1  0  50932 48603756 497992 11155492    0    0     0    36 12931 5990 46  0 54  0  0	
17  0  50932 48597020 497992 11155492    0    0     0     0 16780 3987 62  0 38  0  0	
17  0  50932 48596632 497992 11155492    0    0     0    44 17230  592 70  0 30  0  0	
18  0  50932 48596508 497992 11155492    0    0     0     0 17254  489 71  0 29  0  0	
17  0  50932 48597152 497992 11155492    0    0     0     0 15996 2202 63  0 37  0  0	
19  0  50932 48596660 497992 11155492    0    0     0    68 17308  498 71  0 29  0  0	
17  0  50932 48596784 497992 11155492    0    0     0     0 17290  502 71  0 29  0  0	
17  0  50932 48597128 497992 11155492    0    0     0    36 15607 1076 63  0 37  0  0	
17  0  50932 48597128 497992 11155492    0    0     0     0 17271  483 71  0 29  0  0	
17  0  50932 48597260 497992 11155492    0    0     0     0 17276  502 71  0 29  0  0	
17  0  50932 48597384 497992 11155492    0    0     0    32 15642  894 64  0 36  0  0	
17  0  50932 48597392 497992 11155492    0    0     0     0 17302  502 71  0 29  0  0	
17  0  50932 48597392 497992 11155492    0    0     0    28 17235  477 71  0 29  0  0	
17  0  50932 48597516 497992 11155492    0    0     0     0 15553  824 64  0 36  0  0	
17  0  50932 48597516 497992 11155492    0    0     0     0 17148  859 70  0 30  0  0	
17  0  50932 48597632 497992 11155492    0    0     0    32 17237  473 71  0 29  0  0	
17  0  50932 48597756 497992 11155492    0    0     0    16 17292  501 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48595276 497992 11155492    0    0     0    40 16920  872 63  0 36  0  0	
17  0  50932 48595200 497992 11155492    0    0     0     0 17277  494 71  0 29  0  0	
17  0  50932 48595324 497992 11155492    0    0     0     0 17260  475 71  0 29  0  0	
17  0  50932 48595324 497992 11155492    0    0     0    20 15540  676 64  0 36  0  0	
17  0  50932 48595332 497992 11155496    0    0     0     0 17252  466 71  0 29  0  0	
17  0  50932 48595400 497992 11155496    0    0     0     0 17278  730 71  0 29  0  0	
17  0  50932 48595400 497992 11155496    0    0     0    28 15543  820 64  0 36  0  0	
17  0  50932 48595400 497992 11155496    0    0     0     0 17397  625 71  0 29  0  0	
17  0  50932 48595392 497992 11155496    0    0     0    20 17302  530 71  0 29  0  0	
17  0  50932 48595392 497992 11155496    0    0     0    16 15522  787 64  0 36  0  0	
17  0  50932 48595392 497992 11155496    0    0     0     0 17264  479 71  0 29  0  0	
17  0  50932 48595392 497992 11155496    0    0     0    40 17252  479 71  0 29  0  0	
17  0  50932 48595404 497992 11155496    0    0     0     0 15547  867 64  0 36  0  0	
17  0  50932 48597140 497992 11155496    0    0     0     4 17363  574 71  0 29  0  0	
17  0  50932 48597264 497992 11155496    0    0     0     0 17446  476 71  0 29  0  0	
17  0  50932 48597264 497992 11155496    0    0     0     0 17272  482 71  0 29  0  0	
17  0  50932 48597388 497992 11155496    0    0     0    40 15570  756 64  0 36  0  0	
17  0  50932 48597380 497992 11155496    0    0     0     0 17373  608 71  0 29  0  0	
18  0  50932 48597380 497992 11155496    0    0     0    32 17422  493 71  0 29  0  0	
17  0  50932 48594776 497992 11155496    0    0     0     0 16918  833 63  0 36  0  0	
17  0  50932 48594404 497992 11155496    0    0     0     0 17319  708 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48594280 497992 11155496    0    0     0    32 17265  488 71  0 29  0  0	
17  0  50932 48594280 497992 11155496    0    0     0     0 15538  870 63  0 37  0  0	
17  0  50932 48593784 497992 11155500    0    0     0    80 17541  526 71  0 29  0  0	
17  0  50932 48593792 497992 11155500    0    0     0     0 17256  476 71  0 29  0  0	
17  0  50932 48593916 497992 11155504    0    0     0     0 15553  723 64  0 36  0  0	
17  0  50932 48593920 497992 11155504    0    0     0     0 17279  474 71  0 29  0  0	
17  0  50932 48593920 497992 11155504    0    0     0    32 17401  827 71  0 29  0  0	
17  0  50932 48593300 497992 11155504    0    0     0    20 15613  692 64  0 36  0  0	
17  0  50932 48593292 497992 11155504    0    0     0     0 17242  464 71  0 29  0  0	
17  0  50932 48593168 497992 11155504    0    0     0     0 17261  470 71  0 29  0  0	
17  0  50932 48593168 497992 11155504    0    0     0     0 17248  468 71  0 29  0  0	
17  0  50932 48576064 497992 11155504    0    0     0    28 21804  858 65  0 35  0  0	
17  0  50932 48580404 497992 11155504    0    0     0    20 18003  491 71  0 29  0  0	
17  0  50932 48580404 497992 11155504    0    0     0    12 17257  481 71  0 29  0  0	
17  0  50932 48580404 497992 11155504    0    0     0     0 15570  991 64  0 36  0  0	
17  0  50932 48580404 497992 11155504    0    0     0     0 17356  469 71  0 29  0  0	
17  0  50932 48580528 497992 11155504    0    0     0    40 17385  604 71  0 29  0  0	
17  0  50932 48580652 497992 11155504    0    0     0    44 15673  811 64  0 36  0  0	
17  0  50932 48580520 497992 11155504    0    0     0     0 17285  562 71  0 29  0  0	
17  0  50932 48580396 497992 11155504    0    0     0     0 17284  513 71  0 29  0  0	
17  0  50932 48580396 497992 11155504    0    0     0    16 15889  982 64  0 36  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48580396 497992 11155504    0    0     0    44 17264  649 71  0 29  0  0	
17  0  50932 48580148 497992 11155504    0    0     0     4 17384  594 71  0 29  0  0	
17  0  50932 48580156 497992 11155504    0    0     0     0 15761  885 64  0 36  0  0	
17  0  50932 48580304 497992 11155504    0    0     0     0 17228  584 70  0 30  0  0	
18  0  50932 48580316 497992 11155504    0    0     0     0 17266  488 71  0 29  0  0	
17  0  50932 48580308 497992 11155504    0    0     0     0 17396  588 71  0 29  0  0	
17  0  50932 48597976 497992 11155508    0    0     0    64 11740 8576 35  0 64  0  0	
17  0  50932 48596184 497992 11155512    0    0     0    44 17550  856 71  0 29  0  0	
17  0  50932 48595960 497992 11155512    0    0     0     0 17297  667 71  0 29  0  0	
17  0  50932 48596428 497992 11155512    0    0     0     0 15667 1831 63  0 37  0  0	
17  0  50932 48596300 497992 11155512    0    0     0     0 17335  568 71  0 29  0  0	
17  0  50932 48596344 497992 11155512    0    0     0    88 17325  486 71  0 29  0  0	
 0  0  50932 48596384 497992 11155512    0    0     0     0 15786  556 65  0 35  0  0	
17  0  50932 48596384 497992 11155512    0    0     0     0 16979  991 69  0 30  0  0	
17  0  50932 48596384 497992 11155512    0    0     0     0 17293  531 71  0 29  0  0	
17  0  50932 48596760 497992 11155512    0    0     0     0 17397  622 71  0 29  0  0	
17  0  50932 48593908 497992 11155512    0    0     0    56 14942 1083 60  0 40  0  0	
17  0  50932 48595628 497992 11155512    0    0     0     0 16975  489 70  0 30  0  0	
17  0  50932 48595256 497992 11155512    0    0     0    12 17247  496 71  0 29  0  0	
17  0  50932 48595256 497992 11155512    0    0     0     0 15328  784 63  0 37  0  0	
17  0  50932 48595628 497992 11155512    0    0     0     0 17312  576 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48595628 497992 11155512    0    0     0    52 17272  489 71  0 29  0  0	
17  0  50932 48593452 497992 11155516    0    0     0    16 16834  734 64  0 36  0  0	
17  0  50932 48593452 497992 11155516    0    0     0     0 17208  570 70  0 30  0  0	
17  0  50932 48593452 497992 11155516    0    0     0     0 17291  633 71  0 29  0  0	
17  0  50932 48593576 497992 11155516    0    0     0     0 15692  840 64  0 36  0  0	
17  0  50932 48593692 497992 11155516    0    0     0    60 17291  524 71  0 29  0  0	
17  0  50932 48593692 497992 11155520    0    0     0    44 17261  497 71  0 29  0  0	
 0  0  50932 48593816 497992 11155520    0    0     0     0 15923  621 65  0 35  0  0	
17  0  50932 48594064 497992 11155520    0    0     0     0 16811  644 69  0 31  0  0	
17  0  50932 48594312 497992 11155520    0    0     0     0 17261  475 71  0 29  0  0	
17  0  50932 48594320 497996 11155516    0    0     0    40 17250  493 71  0 29  0  0	
17  0  50932 48594444 497996 11155520    0    0     0    48 15627 1116 64  0 36  0  0	
17  0  50932 48594444 497996 11155520    0    0     0     0 17274  470 71  0 29  0  0	
17  0  50932 48594444 497996 11155520    0    0     0     0 17320  541 71  0 29  0  0	
17  0  50932 48594480 497996 11155520    0    0     0     0 15635  912 64  0 36  0  0	
17  0  50932 48594472 497996 11155520    0    0     0     0 17314  574 71  0 29  0  0	
17  0  50932 48594596 497996 11155520    0    0     0    36 17251  478 71  0 29  0  0	
17  0  50932 48594596 497996 11155520    0    0     0     0 15651  744 64  0 36  0  0	
17  0  50932 48594596 497996 11155520    0    0     0     0 17245  461 71  0 29  0  0	
17  0  50932 48594564 497996 11155520    0    0     0     0 17295  655 71  0 29  0  0	
17  0  50932 48596500 497996 11155520    0    0     0    76 15928  692 64  0 36  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48596508 497996 11155520    0    0     0    32 17225  601 70  0 30  0  0	
17  0  50932 48596508 497996 11155520    0    0     0     0 17285  486 71  0 29  0  0	
 0  0  50932 48596508 497996 11155520    0    0     0     0 15965  530 65  0 35  0  0	
17  0  50932 48596260 497996 11155520    0    0     0     0 16993  955 69  0 31  0  0	
17  0  50932 48596004 497996 11155520    0    0     0    32 17285  494 71  0 29  0  0	
17  0  50932 48596004 497996 11155520    0    0     0     0 17259  465 71  0 29  0  0	
17  0  50932 48596008 497996 11155520    0    0     0    40 15567  872 64  0 36  0  0	
17  0  50932 48596132 497996 11155524    0    0     0     0 17242  461 71  0 29  0  0	
17  0  50932 48596172 497996 11155524    0    0     0     4 17295  554 71  0 29  0  0	
17  0  50932 48596172 497996 11155524    0    0     0    24 15521  643 64  0 36  0  0	
18  0  50932 48596048 497996 11155524    0    0     0     0 17252  475 71  0 29  0  0	
17  0  50932 48596048 497996 11155524    0    0     0    48 17544  759 71  0 29  0  0	
17  0  50932 48596300 497996 11155524    0    0     0     0 15569  719 64  0 36  0  0	
17  0  50932 48596180 497996 11155524    0    0     0     0 17533  766 71  0 29  0  0	
17  0  50932 48596172 497996 11155524    0    0     0    20 17292  606 71  0 29  0  0	
17  0  50932 48596364 497996 11155524    0    0     0     0 15562  741 64  0 36  0  0	
17  0  50932 48596368 497996 11155524    0    0     0    36 17226  476 71  0 29  0  0	
17  0  50932 48596368 497996 11155524    0    0     0     0 17247  463 71  0 29  0  0	
 0  0  50932 48596492 497996 11155524    0    0     0    16 15989  557 66  0 34  0  0	
17  0  50932 48596492 497996 11155524    0    0     0     4 16904  617 69  0 31  0  0	
17  0  50932 48596500 497996 11155524    0    0     0     0 17256  673 70  0 30  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0  50932 48596500 497996 11155524    0    0     0    36 17262  481 71  0 29  0  0	
