#consumed-cpu number-of-readers number-of-writers direct-reads direct-reads-mean-error direct-writes direct-writes-mean-error direct-volatile-reads direct-volatile-reads-mean-error direct-volatile-writes direct-volatile-writes-mean-error synchronized-reads synchronized-reads-mean-error synchronized-writes synchronized-writes-mean-error reentrant-read-write-lock-reads reentrant-read-write-lock-reads-mean-error reentrant-read-write-lock-writes reentrant-read-write-lock-writes-mean-error atomic-reads atomic-reads-mean-error atomic-writes atomic-writes-mean-error adder-reads adder-reads-mean-error adder-writes adder-writes-mean-error stamped-reads stamped-reads-mean-error stamped-writes stamped-writes-mean-error
20 10 10 11311,995 616,106 9087,546 2518,733 17371,531 723,147 6170,627 338,935 1875,646 83,637 474,248 26,886 764,833 18,040 957,817 19,533 10575,429 436,160 7570,889 287,412 7066,017 515,498 24553,286 1352,672 2451,965 94,618 110,406 2,623 
20 11 11 11678,132 391,497 6949,439 222,346 19027,843 1329,927 6583,708 306,634 1929,092 86,950 479,601 43,346 792,499 20,109 965,656 23,227 11607,917 287,675 7928,267 318,235 6846,637 791,044 22953,072 1896,668 2889,837 145,785 98,611 2,615 
20 12 12 12025,921 404,985 7125,831 246,960 19524,214 671,192 6753,596 306,791 2117,824 51,932 391,732 37,341 812,134 18,553 962,469 28,019 12318,310 410,772 8149,769 371,381 7021,497 1061,592 23651,793 2921,290 4035,623 409,845 90,576 2,299 
20 2 1 10219,666 1323,356 3969,242 273,335 13533,132 1321,799 2917,564 135,519 3858,438 315,857 199,034 46,400 893,581 62,665 758,673 36,923 15152,071 1793,187 3136,927 272,926 14833,846 2060,891 3207,011 196,286 4023,233 441,476 598,791 24,510 
20 3 1 13886,988 2349,239 4004,724 235,203 19103,917 2835,637 3083,603 212,188 2079,606 111,723 142,834 23,244 1185,625 64,840 565,564 27,973 17720,901 3764,121 3546,484 255,982 20356,612 3500,706 3208,588 227,365 5028,215 438,778 490,513 16,721 
20 4 1 18927,644 3430,640 5417,136 818,434 22160,438 2696,400 3101,385 120,939 2099,738 123,801 111,503 19,016 1271,884 55,445 432,376 22,870 24107,076 4173,347 3329,643 203,143 23037,329 3575,066 3479,000 194,830 5812,541 517,391 420,511 28,837 
20 5 1 20471,682 2588,267 4150,160 241,159 29025,766 4001,011 3313,441 127,740 2257,896 56,700 87,197 14,247 1281,221 66,103 353,013 21,714 25371,920 4810,584 3410,255 189,801 27441,345 4965,479 3614,326 126,935 6671,397 406,253 322,480 14,784 
20 6 1 26962,547 5397,706 5399,424 871,228 33659,837 4689,850 3158,872 215,535 2156,968 79,476 73,362 8,424 1291,230 41,728 299,575 15,999 29361,624 4986,738 3486,585 152,741 34189,354 5527,031 3540,001 142,136 7192,950 590,571 270,319 18,669 
20 7 1 28710,588 5459,945 4766,706 719,900 41563,769 5704,961 3235,004 149,554 2288,523 79,367 60,237 6,998 1270,594 34,998 237,507 17,519 33566,652 5732,487 3601,662 88,756 37690,251 6513,124 3586,714 157,421 8861,406 436,979 270,700 19,263 
20 8 1 27300,676 3891,748 3974,215 185,980 41321,139 5833,036 3150,479 80,034 2244,229 58,777 52,736 4,516 1256,866 44,303 202,682 14,503 36898,193 6315,613 3737,946 117,032 45853,417 7416,021 3789,258 136,794 8717,173 412,185 219,668 10,869 
20 9 1 35781,435 6675,555 4688,673 709,403 42997,383 6737,009 3318,330 135,377 2349,297 37,188 46,434 7,342 1269,272 52,316 171,193 10,688 43593,706 7258,698 3764,489 126,724 39617,366 7326,156 3649,874 125,742 10179,191 541,005 199,991 6,267 
20 10 1 33484,313 4391,990 4311,339 538,619 52260,345 7496,016 3090,298 117,099 2380,285 70,036 37,422 6,042 1337,899 51,989 156,604 10,728 42996,236 7406,775 3755,773 153,311 47392,106 7424,253 3705,173 138,883 10842,663 419,139 189,655 7,966 
20 11 1 37148,763 4585,540 3864,361 217,844 54070,222 7646,067 3110,921 183,791 2310,620 78,389 45,378 6,432 1231,008 38,127 132,978 10,129 50639,334 8102,405 3787,674 156,547 48350,550 7847,567 3609,851 149,042 12170,111 732,692 170,730 5,993 
