procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50964 49210264 495988 11058048    0    0     0     1    0    0  2  0 98  0  0	
 2  0  50964 49159764 495988 11058132    0    0     0    72 4655 12971  7  1 92  0  0	
11  0  50964 49153252 495988 11058104    0    0     0     0 12176 2704 44  0 56  0  0	
11  0  50964 49152336 495988 11058108    0    0     0     0 11774  465 46  0 54  0  0	
11  0  50964 49152728 495988 11058108    0    0     0     0 11796  472 46  0 54  0  0	
11  0  50964 49150420 495988 11058108    0    0     0    68 10978 2442 42  0 58  0  0	
11  0  50964 49150384 495988 11058108    0    0     0    36 11371  486 46  0 54  0  0	
11  0  50964 49150380 495988 11058108    0    0     0     0 12083  512 46  0 54  0  0	
11  0  50964 49150584 495988 11058108    0    0     0     0 10944 1049 41  0 59  0  0	
11  0  50964 49150664 495988 11058108    0    0     0     0 11766  459 46  0 54  0  0	
11  0  50964 49150836 495988 11058108    0    0     0    72 11799  641 46  0 54  0  0	
11  0  50964 49150836 495988 11058108    0    0     0    28 10501  815 41  0 59  0  0	
11  0  50964 49150960 495988 11058108    0    0     0     0 12047  464 46  0 54  0  0	
11  0  50964 49151156 495988 11058108    0    0     0     0 11649  459 46  0 54  0  0	
11  0  50964 49151280 495988 11058108    0    0     0     0 10507  728 41  0 59  0  0	
12  0  50964 49151280 495988 11058108    0    0     0    12 12032  541 46  0 54  0  0	
11  0  50964 49151164 495988 11058108    0    0     0    28 11776  490 46  0 54  0  0	
 1  0  50964 49151164 495988 11058108    0    0     0     0 11434  482 44  0 55  0  0	
11  0  50964 49151280 495988 11058108    0    0     0     0 11241  741 43  0 57  0  0	
12  0  50964 49151280 495988 11058112    0    0     0     0 12061  530 46  0 54  0  0	
11  0  50964 49151280 495988 11058112    0    0     0     0 11837  627 46  0 54  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0  50964 49151280 495988 11058112    0    0     0    28 10271  803 41  0 59  0  0	
11  0  50964 49151524 495988 11058112    0    0     0     0 11315  469 46  0 54  0  0	
12  0  50964 49151524 495988 11058112    0    0     0     0 11884  458 46  0 54  0  0	
11  0  50964 49151660 495988 11058112    0    0     0    12 10920  665 41  0 59  0  0	
12  0  50964 49151660 495988 11058112    0    0     0     0 12023  474 46  0 54  0  0	
11  0  50964 49151660 495988 11058112    0    0     0    72 12048  487 46  0 54  0  0	
12  0  50964 49151660 495988 11058112    0    0     0     0 10529  607 41  0 59  0  0	
11  0  50964 49151784 495988 11058112    0    0     0     0 11461  606 46  0 54  0  0	
12  0  50964 49151776 495988 11058112    0    0     0     0 11816  479 46  0 54  0  0	
11  0  50964 49149668 495988 11058112    0    0     0     0 11425  694 41  0 59  0  0	
11  0  50964 49151220 495988 11058112    0    0     0    36 12350  735 46  0 54  0  0	
11  0  50964 49151100 495988 11058112    0    0     0     0 11276  466 46  0 54  0  0	
 0  0  50964 49151100 495988 11058112    0    0     0     0 11292  480 44  0 56  0  0	
11  0  50964 49150796 495988 11058112    0    0     0     0 10572  657 43  0 57  0  0	
12  0  50964 49150796 495988 11058112    0    0     0    88 11381  473 46  0 54  0  0	
11  0  50964 49150920 495988 11058112    0    0     0    12 11274  473 46  0 54  0  0	
11  0  50964 49150972 495988 11058112    0    0     0    48 10192  768 41  0 59  0  0	
11  0  50964 49150848 495988 11058112    0    0     0     0 12049  625 46  0 54  0  0	
11  0  50964 49150840 495988 11058112    0    0     0     0 11948  461 46  0 54  0  0	
11  0  50964 49150840 495988 11058112    0    0     0    80 10531  757 41  0 59  0  0	
11  0  50964 49150876 495988 11058112    0    0     0     4 11667  644 46  0 54  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0  50964 49150884 495988 11058112    0    0     0    48 11297  471 46  0 54  0  0	
11  0  50964 49150884 495988 11058112    0    0     0     0 10592  746 41  0 59  0  0	
11  0  50964 49150760 495988 11058116    0    0     0     0 11764  520 46  0 54  0  0	
11  0  50964 49150760 495988 11058116    0    0     0    20 11793  485 46  0 54  0  0	
11  0  50964 49149892 495988 11058116    0    0     0     0 10740  661 41  0 59  0  0	
12  0  50964 49150016 495988 11058120    0    0     0    40 11797  471 46  0 54  0  0	
11  0  50964 49150008 495988 11058120    0    0     0     0 11939  618 46  0 54  0  0	
