procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50888 52863784 499876 11442264    0    0     0     1    0    0  2  0 98  0  0	
 1  0  50888 52812432 499876 11442352    0    0     0     4 4536 12830  7  1 92  0  0	
 6  0  50888 52808828 499876 11442320    0    0     0    72 6723 1616 25  0 75  0  0	
 6  0  50888 52808456 499876 11442320    0    0     0     0 6203  177 25  0 75  0  0	
 6  0  50888 52808756 499876 11442320    0    0     0     0 6882  176 25  0 75  0  0	
 6  0  50888 52807920 499876 11442320    0    0     0    56 6548 1885 23  0 77  0  0	
 6  0  50888 52807676 499876 11442320    0    0     0     0 6313  177 25  0 75  0  0	
 6  0  50888 52807308 499876 11442320    0    0     0     0 6204  172 25  0 75  0  0	
 6  0  50888 52806892 499876 11442320    0    0     0    28 6079  505 23  0 77  0  0	
 6  0  50888 52806972 499876 11442320    0    0     0     0 6620  175 25  0 75  0  0	
 6  0  50888 52806888 499876 11442320    0    0     0    56 6630  193 25  0 75  0  0	
 6  0  50888 52807012 499876 11442324    0    0     0    12 5995  423 22  0 78  0  0	
 6  0  50888 52807144 499876 11442324    0    0     0     0 6608  184 25  0 75  0  0	
 6  0  50888 52807304 499876 11442324    0    0     0    28 6580  357 25  0 75  0  0	
 6  0  50888 52807244 499876 11442324    0    0     0     0 6028  381 23  0 77  0  0	
 6  0  50888 52807304 499876 11442324    0    0     0     0 6654  175 25  0 75  0  0	
 6  0  50888 52807304 499876 11442324    0    0     0     0 6667  183 25  0 75  0  0	
 0  0  50888 52807304 499876 11442324    0    0     0     0 6310  186 24  0 76  0  0	
 6  0  50888 52807148 499876 11442324    0    0     0    24 5914  448 24  0 76  0  0	
 6  0  50888 52807364 499876 11442324    0    0     0     0 6240  173 25  0 75  0  0	
 6  0  50888 52807364 499876 11442324    0    0     0     0 6677  184 25  0 75  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  50888 52807488 499876 11442324    0    0     0     4 5701  476 23  0 77  0  0	
 6  0  50888 52807736 499876 11442324    0    0     0     0 6175  175 25  0 75  0  0	
 6  0  50888 52807736 499876 11442324    0    0     0    36 6526  186 25  0 75  0  0	
 6  0  50888 52807860 499876 11442324    0    0     0     0 5588  299 22  0 77  0  0	
 6  0  50888 52807984 499876 11442324    0    0     0     0 6650  226 25  0 75  0  0	
 6  0  50888 52807984 499876 11442324    0    0     0    48 6629  194 25  0 75  0  0	
 6  0  50888 52808064 499876 11442324    0    0     0     0 6012  241 23  0 77  0  0	
 6  0  50888 52808188 499876 11442324    0    0     0    40 6679  185 25  0 75  0  0	
 6  0  50888 52808188 499876 11442324    0    0     0     0 6701  353 25  0 75  0  0	
 6  0  50888 52808064 499876 11442324    0    0     0    16 6103  301 22  0 77  0  0	
 6  0  50888 52808064 499876 11442324    0    0     0    12 6883  186 25  0 75  0  0	
 6  0  50888 52808064 499876 11442324    0    0     0     0 6875  174 25  0 75  0  0	
 0  0  50888 52808064 499876 11442324    0    0     0    40 6539  212 24  0 76  0  0	
 6  0  50888 52808064 499876 11442324    0    0     0     0 5958  353 24  0 76  0  0	
 6  0  50888 52807940 499876 11442324    0    0     0   104 6725  199 25  0 75  0  0	
 7  0  50888 52807940 499876 11442324    0    0     0     4 6622  181 25  0 75  0  0	
 6  0  50888 52808028 499876 11442324    0    0     0     0 6122  492 23  0 77  0  0	
 7  0  50888 52808028 499876 11442328    0    0     0    44 6773  190 25  0 75  0  0	
 6  0  50888 52808152 499876 11442328    0    0     0     0 6852  202 25  0 75  0  0	
 6  0  50888 52808152 499876 11442328    0    0     0    44 6043  345 23  0 77  0  0	
 6  0  50888 52808152 499876 11442328    0    0     0     0 6348  182 25  0 75  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  50888 52808152 499876 11442328    0    0     0     0 6475  179 25  0 75  0  0	
 6  0  50888 52808152 499876 11442332    0    0     0    32 5746  307 23  0 77  0  0	
 6  0  50888 52808152 499876 11442332    0    0     0     4 6253  185 25  0 75  0  0	
 6  0  50888 52808152 499876 11442332    0    0     0    32 6293  341 25  0 75  0  0	
 6  0  50888 52808152 499876 11442332    0    0     0     0 6220  365 23  0 77  0  0	
 6  0  50888 52808276 499876 11442332    0    0     0     0 6767  175 25  0 75  0  0	
 6  0  50888 52808276 499876 11442332    0    0     0    28 6449  189 25  0 75  0  0	
 0  0  50888 52808276 499876 11442332    0    0     0     0 6475  272 24  0 76  0  0	
 6  0  50888 52808276 499876 11442332    0    0     0     0 6387  330 24  0 76  0  0	
 6  0  50888 52808284 499876 11442332    0    0     0     0 6631  179 25  0 75  0  0	
 6  0  50888 52808284 499876 11442332    0    0     0    16 6636  358 25  0 75  0  0	
 6  0  50888 52804936 499876 11442332    0    0     0     0 5997  357 23  0 77  0  0	
 6  0  50888 52804936 499876 11442332    0    0     0    28 6204  193 25  0 75  0  0	
 6  0  50888 52804976 499876 11442336    0    0     0     0 6650  178 25  0 75  0  0	
 7  0  50888 52806464 499876 11442336    0    0     0     8 6353  280 23  0 77  0  0	
 6  0  50888 52806464 499876 11442336    0    0     0     0 6521  176 25  0 75  0  0	
 7  0  50888 52806464 499876 11442336    0    0     0     0 6531  200 25  0 75  0  0	
 6  0  50888 52806588 499876 11442336    0    0     0    40 5845  408 23  0 77  0  0	
 6  0  50888 52806588 499876 11442336    0    0     0    16 6656  340 25  0 75  0  0	
