#consumed-cpu number-of-readers number-of-writers direct-reads direct-reads-mean-error direct-writes direct-writes-mean-error direct-volatile-reads direct-volatile-reads-mean-error direct-volatile-writes direct-volatile-writes-mean-error synchronized-reads synchronized-reads-mean-error synchronized-writes synchronized-writes-mean-error reentrant-read-write-lock-reads reentrant-read-write-lock-reads-mean-error reentrant-read-write-lock-writes reentrant-read-write-lock-writes-mean-error atomic-reads atomic-reads-mean-error atomic-writes atomic-writes-mean-error adder-reads adder-reads-mean-error adder-writes adder-writes-mean-error stamped-reads stamped-reads-mean-error stamped-writes stamped-writes-mean-error
1 1 1 75926,800 7662,162 25658,716 7638,996 72936,151 9954,247 10514,888 3087,710 3809,220 1213,728 2864,136 948,224 908,571 377,476 2476,545 333,706 79471,301 9996,688 16195,201 3382,030 73873,138 7693,199 9925,036 2115,975 13061,004 5007,425 1898,602 289,587 
1 1 2 42582,718 9100,477 45194,836 8605,813 41126,731 12025,894 10351,812 1880,339 2217,972 444,009 4340,687 438,088 37,761 4,132 5959,936 567,454 52068,149 8821,375 21716,679 3046,958 15275,057 3711,975 39579,439 5330,341 6073,024 1824,474 1299,192 174,630 
1 1 3 27648,033 5955,940 101171,173 49675,674 28356,969 5961,295 12231,716 1753,991 917,234 139,897 2819,190 196,271 22,932 1,894 6215,024 328,088 31269,565 2930,870 25697,768 2204,564 6011,546 920,396 62722,261 5893,043 8938,572 1334,099 669,342 69,795 
1 1 4 26273,712 2942,861 113403,899 67541,150 24758,377 3478,334 14049,822 1074,580 660,715 96,279 2801,908 175,337 18,196 1,112 6012,019 320,720 27276,214 3578,781 24282,355 2142,725 4009,359 277,793 89981,295 6466,039 7544,899 682,207 564,720 30,525 
1 1 5 18065,659 4186,943 134390,024 82236,083 18563,606 1071,665 14866,132 744,708 600,521 67,651 3086,410 203,625 14,318 0,401 6185,653 294,655 24060,386 3077,864 23741,844 1738,217 3184,219 272,042 113772,801 6262,959 4785,615 397,152 519,184 19,222 
1 1 6 17678,255 1818,504 49541,764 2122,795 16177,551 1683,879 14406,144 698,508 519,971 79,315 3233,109 142,549 12,156 0,356 6603,322 340,930 20359,012 2160,850 22353,414 1682,255 2706,693 132,196 142278,115 6889,755 4559,281 239,443 499,058 16,969 
1 1 7 9676,656 2903,332 186802,431 132985,312 14134,288 1532,107 14687,381 613,055 444,674 54,777 3501,132 123,270 10,643 0,203 6567,778 321,079 16439,281 1718,391 24508,362 2047,889 2408,670 163,527 161395,516 10804,969 4386,985 225,536 486,105 19,306 
1 1 8 12460,215 1059,594 50184,032 1734,081 10590,400 2206,649 12772,471 1639,452 396,546 65,629 3482,921 105,509 9,402 0,187 6535,143 373,839 15035,417 1658,342 23969,455 2078,538 2186,935 117,527 200492,366 7002,559 4051,868 290,272 410,143 11,667 
1 1 9 9377,023 1948,284 177403,386 145329,572 8478,546 1746,818 12418,074 1680,509 378,035 64,592 3544,620 100,131 8,152 0,112 6837,734 294,771 11503,493 967,007 24902,621 1520,775 1780,082 155,359 209916,449 18021,305 3494,818 241,788 395,946 15,971 
1 1 10 9705,130 873,967 101615,563 103617,873 10156,879 783,469 14056,883 460,920 363,443 63,424 3608,353 120,811 7,657 0,128 6473,684 331,827 11056,458 910,768 25697,613 1538,821 1795,214 99,772 243796,994 9069,239 3035,874 226,751 349,077 12,765 
1 1 11 9286,305 930,903 229021,050 181322,369 8755,046 704,184 13996,380 434,833 324,855 39,534 3603,436 124,035 6,972 0,104 6487,039 234,396 9116,659 819,848 26032,032 1651,933 1542,663 127,438 269024,117 14373,909 2621,009 114,862 315,682 9,872 
1 2 2 68953,188 10371,257 32724,623 7480,207 54220,740 13647,366 8633,055 1899,441 1634,763 139,988 1811,315 172,474 1571,844 115,313 3968,087 113,694 61225,653 10970,709 20572,246 2513,430 11980,160 1734,711 27388,667 3680,583 24028,677 3033,581 683,860 68,234 
1 3 3 64238,777 9484,139 35259,070 4723,584 59134,761 5840,752 13053,703 1272,333 1857,724 120,158 1967,569 164,730 1478,026 71,373 3854,870 102,309 58114,370 6078,915 22299,881 1541,337 6184,829 713,405 39615,245 3893,007 25112,463 1856,525 390,553 20,629 
1 4 4 58202,928 11848,688 41167,618 5618,877 54440,111 8947,319 11841,644 1561,029 1902,869 148,005 1900,998 168,694 1284,246 39,803 3912,496 103,378 58200,461 4585,764 22123,724 1260,503 5780,941 371,072 45193,421 4424,507 29006,182 1710,871 373,409 10,482 
1 5 5 62148,522 8604,296 39512,264 3307,719 50616,514 10628,036 10934,752 1658,879 1995,100 146,005 2040,596 145,236 1201,322 41,853 3741,043 98,750 60668,611 5557,961 19944,837 1293,052 5128,727 266,883 57378,853 4682,784 26140,728 1636,266 340,004 9,701 
1 6 6 65741,378 3142,351 135244,795 96073,028 55047,385 13122,210 10084,188 1579,496 1998,046 97,376 1943,134 102,487 1165,292 54,276 3651,529 170,562 64399,245 4490,115 20037,193 1155,700 4914,090 316,433 62914,934 7940,953 23696,030 1379,963 304,597 7,103 
1 7 7 61376,042 5902,573 37765,193 2317,799 54314,888 10146,548 11312,189 1436,444 2030,031 113,198 2046,295 128,443 1144,540 67,225 3802,262 80,532 62049,920 5676,227 19771,156 1159,621 5103,487 242,779 55309,614 5113,245 23281,621 1228,598 262,808 7,830 
1 8 8 56469,705 7892,975 36356,676 1628,731 54774,976 8814,062 12030,126 1356,317 2021,007 90,717 1940,980 92,048 1094,377 69,262 3554,759 195,435 62759,922 4615,901 21251,093 1039,765 5630,131 359,424 56273,348 9550,172 22666,151 1062,686 224,085 5,233 
1 9 9 52752,280 4498,929 32275,661 1755,954 52470,074 9072,799 11666,715 1377,101 2079,928 113,154 2139,281 138,574 1038,343 54,115 3779,105 114,080 59040,168 4287,897 21685,362 875,552 5386,741 319,296 61082,922 9102,438 22076,982 1291,866 177,242 4,816 
1 10 10 48025,575 4722,840 98479,562 68976,650 44022,622 12316,636 10586,065 1457,085 2158,304 108,880 2060,626 159,795 1086,173 67,026 3757,188 129,693 50286,898 4575,954 21879,051 1079,578 5101,371 569,549 57262,180 11623,937 22449,437 1563,612 144,915 3,244 
1 11 11 47028,231 4164,131 29546,109 969,503 51795,560 9290,537 12108,116 1338,950 2232,170 123,970 2280,016 135,303 1038,752 65,619 3797,352 105,128 56357,917 4215,324 22533,036 1370,286 6070,204 338,322 74495,732 9670,183 22516,344 1665,134 123,178 3,171 
