procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50988 54399784 478344 6499496    0    0     0     1    0    0  1  0 99  0  0	
 4  0  50988 54352120 478344 6499516    0    0     0     0 5346 14388  8  1 91  0  0	
 4  0  50988 54350292 478344 6499524    0    0     0    52 4741  633 17  0 83  0  0	
 5  0  50988 54349372 478344 6499524    0    0     0     0 4525  548 17  0 83  0  0	
 4  0  50988 54348676 478344 6499524    0    0     0    52 6018 2294 18  0 82  0  0	
 4  0  50988 54348124 478344 6499524    0    0     0    48 4505  564 17  0 83  0  0	
 4  0  50988 54347716 478344 6499524    0    0     0    12 5096  542 17  0 83  0  0	
 4  0  50988 54347708 478344 6499524    0    0     0    68 5309 1068 17  0 83  0  0	
 4  0  50988 54347804 478344 6499528    0    0     0     0 4325  595 17  0 83  0  0	
 4  0  50988 54348000 478344 6499528    0    0     0     0 4521  548 17  0 83  0  0	
 4  0  50988 54348124 478344 6499528    0    0     0    16 5176  782 17  0 83  0  0	
 5  0  50988 54348328 478344 6499528    0    0     0     0 5092  543 17  0 83  0  0	
 4  0  50988 54348328 478344 6499532    0    0     0    48 4919  589 17  0 83  0  0	
 4  0  50988 54348576 478344 6499532    0    0     0     0 4375  716 17  0 83  0  0	
 4  0  50988 54348576 478344 6499532    0    0     0    32 4908  534 17  0 83  0  0	
 5  0  50988 54348700 478344 6499532    0    0     0     0 5078  544 17  0 83  0  0	
 4  0  50988 54348948 478344 6499532    0    0     0    16 5069  628 17  0 83  0  0	
 5  0  50988 54348988 478344 6499532    0    0     0    40 5264  854 17  0 83  0  0	
 4  0  50988 54349104 478344 6499536    0    0     0     0 5073  538 17  0 83  0  0	
 4  0  50988 54349252 478344 6499536    0    0     0    20 4970  737 17  0 83  0  0	
 4  0  50988 54349276 478344 6499536    0    0     0     4 4675  584 17  0 83  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  50988 54349268 478344 6499536    0    0     0   704 4845 1013 17  0 83  0  0	
 4  0  50988 54349268 478344 6499544    0    0     0    96 4430  702 17  0 83  0  0	
 4  0  50988 54349132 478344 6499544    0    0     0     0 4598  686 17  0 83  0  0	
 4  0  50988 54349008 478344 6499544    0    0     0    16 4433  549 17  0 83  0  0	
 4  0  50988 54349024 478344 6499544    0    0     0    40 4721  668 17  0 83  0  0	
 4  0  50988 54349148 478344 6499544    0    0     0     0 5138  526 17  0 83  0  0	
 4  0  50988 54349140 478344 6499544    0    0     0    52 5388  885 17  0 83  0  0	
 4  0  50988 54349200 478344 6499544    0    0     0     0 4790  650 17  0 83  0  0	
 4  0  50988 54349208 478344 6499544    0    0     0    16 4935  554 17  0 83  0  0	
 4  0  50988 54349208 478344 6499544    0    0     0     4 5037  534 17  0 83  0  0	
 4  0  50988 54349208 478344 6499544    0    0     0     0 4982  678 17  0 83  0  0	
 4  0  50988 54349316 478344 6499552    0    0     0    64 4358  631 17  0 83  0  0	
 4  0  50988 54349456 478344 6499552    0    0     0     0 4472  548 17  0 83  0  0	
 4  0  50988 54349580 478344 6499552    0    0     0   104 4864  701 17  0 83  0  0	
 4  0  50988 54349580 478344 6499552    0    0     0    12 5018  545 17  0 83  0  0	
 4  0  50988 54349580 478344 6499552    0    0     0     0 4883  529 17  0 83  0  0	
 4  0  50988 54349068 478344 6499552    0    0     0    40 5261  951 17  0 83  0  0	
 4  0  50988 54349068 478344 6499556    0    0     0    36 4719  560 17  0 83  0  0	
 4  0  50988 54349068 478344 6499556    0    0     0    52 4729  585 17  0 83  0  0	
 4  0  50988 54349068 478344 6499556    0    0     0     0 4712  691 17  0 83  0  0	
 4  0  50988 54349068 478344 6499556    0    0     0     0 4697  534 17  0 83  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  50988 54349192 478344 6499556    0    0     0    84 4747  683 17  0 83  0  0	
 4  0  50988 54349068 478344 6499564    0    0     0    24 4822  933 17  0 83  0  0	
 4  0  50988 54348712 478344 6499564    0    0     0    32 4470  584 17  0 83  0  0	
 4  0  50988 54348464 478344 6499564    0    0     0     0 4485  542 17  0 83  0  0	
 4  0  50988 54348464 478344 6499564    0    0     0     0 4407  706 17  0 83  0  0	
 4  0  50988 54348208 478344 6499564    0    0     0    40 5111  863 17  0 83  0  0	
 4  0  50988 54348332 478344 6499564    0    0     0     0 4826  539 17  0 83  0  0	
 4  0  50988 54348332 478344 6499564    0    0     0    48 4856  667 17  0 83  0  0	
 4  0  50988 54348332 478344 6499564    0    0     0     0 4838  546 17  0 83  0  0	
 4  0  50988 54348456 478344 6499564    0    0     0     0 4820  535 17  0 83  0  0	
 4  0  50988 54347844 478344 6499564    0    0     0    84 5021  674 17  0 83  0  0	
 4  0  50988 54347968 478344 6499572    0    0     0     0 4845  546 17  0 83  0  0	
 4  0  50988 54347980 478344 6499572    0    0     0    32 4834  562 17  0 83  0  0	
 4  0  50988 54348036 478344 6499572    0    0     0     0 4861  654 17  0 83  0  0	
 4  0  50988 54348036 478344 6499572    0    0     0     0 4903  573 17  0 83  0  0	
 4  0  50988 54348036 478344 6499572    0    0     0    40 5119  876 17  0 83  0  0	
 4  0  50988 54348028 478344 6499572    0    0     0     0 4784  674 17  0 83  0  0	
 4  0  50988 54348020 478344 6499572    0    0     0    16 4746  563 17  0 83  0  0	
 4  0  50988 54348028 478344 6499572    0    0     0    40 4477  746 17  0 83  0  0	
 1  0  50988 54358176 478344 6499576    0    0     0     0 5210 2040 16  0 84  0  0	
 4  0  50988 54342660 478344 6499584    0    0     0    36 5165 7480 14  0 86  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  50988 54342144 478344 6499584    0    0     0     0 4831  559 17  0 83  0  0	
 4  0  50988 54342152 478344 6499584    0    0     0    64 4876  545 17  0 83  0  0	
 4  0  50988 54341904 478344 6499584    0    0     0    44 4705 1289 17  0 83  0  0	
 4  0  50988 54341780 478344 6499584    0    0     0    12 4300  543 17  0 83  0  0	
 4  0  50988 54341640 478344 6499584    0    0     0    40 4699  842 17  0 83  0  0	
 4  0  50988 54341932 478344 6499588    0    0     0     0 4719  821 17  0 83  0  0	
 4  0  50988 54341932 478344 6499588    0    0     0    12 4823  567 17  0 83  0  0	
 4  0  50988 54341932 478344 6499588    0    0     0     0 4789  530 17  0 83  0  0	
 5  0  50988 54342200 478344 6499588    0    0     0    20 4936  690 17  0 83  0  0	
 4  0  50988 54342324 478344 6499588    0    0     0    36 4919  580 17  0 83  0  0	
 4  0  50988 54342156 478344 6499592    0    0     0     0 4803  544 17  0 83  0  0	
 4  0  50988 54342156 478344 6499592    0    0     0    60 4857  724 17  0 83  0  0	
 4  0  50988 54342156 478344 6499592    0    0     0     0 4795  540 17  0 83  0  0	
 4  0  50988 54342156 478344 6499592    0    0     0    36 4796  554 17  0 83  0  0	
 5  0  50988 54342288 478344 6499592    0    0     0    68 4859 1036 17  0 83  0  0	
 4  0  50988 54342040 478344 6499592    0    0     0     0 4794  542 17  0 83  0  0	
 5  0  50988 54342032 478344 6499592    0    0     0     8 5073  701 17  0 83  0  0	
 4  0  50988 54342032 478344 6499592    0    0     0     0 4681  740 17  0 83  0  0	
 5  0  50988 54342148 478344 6499592    0    0     0   676 4644 1023 17  0 83  0  0	
 4  0  50988 54342024 478344 6499592    0    0     0   136 4630  600 17  0 83  0  0	
 4  0  50988 54341536 478344 6499596    0    0     0     0 4835  704 17  0 83  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  50988 54341536 478344 6499596    0    0     0     0 4995  550 17  0 83  0  0	
 4  0  50988 54341552 478344 6499596    0    0     0     0 4793  542 17  0 83  0  0	
 4  0  50988 54341620 478344 6499596    0    0     0     0 4964  653 17  0 83  0  0	
 4  0  50988 54341612 478344 6499600    0    0     0    60 5073  857 17  0 83  0  0	
 4  0  50988 54341612 478344 6499600    0    0     0     0 4440  531 17  0 83  0  0	
 5  0  50988 54341488 478344 6499600    0    0     0    16 4751  696 17  0 83  0  0	
 4  0  50988 54341488 478344 6499600    0    0     0     0 4790  527 17  0 83  0  0	
 4  0  50988 54341612 478344 6499600    0    0     0     0 4789  541 17  0 83  0  0	
 4  0  50988 54341612 478344 6499608    0    0     0    56 4847  747 17  0 83  0  0	
 5  0  50988 54341752 478344 6499608    0    0     0     0 4799  546 17  0 83  0  0	
 4  0  50988 54341752 478344 6499608    0    0     0    56 4866  564 17  0 83  0  0	
 5  0  50988 54341504 478344 6499608    0    0     0     8 4831  679 17  0 83  0  0	
 4  0  50988 54341408 478344 6499608    0    0     0     0 4792  526 17  0 83  0  0	
 5  0  50988 54341392 478344 6499608    0    0     0    40 5008  848 17  0 83  0  0	
 4  0  50988 54341392 478344 6499612    0    0     0    44 4836  761 17  0 83  0  0	
 5  0  50988 54341268 478344 6499612    0    0     0    32 4818  561 17  0 83  0  0	
 4  0  50988 54341268 478344 6499612    0    0     0    24 4798  556 17  0 83  0  0	
 4  0  50988 54341268 478344 6499612    0    0     0     0 4804  665 17  0 83  0  0	
 4  0  50988 54341268 478344 6499620    0    0     0    36 4818  559 17  0 83  0  0	
 4  0  50988 54341268 478344 6499620    0    0     0    24 4793  550 17  0 83  0  0	
 4  0  50988 54341268 478344 6499620    0    0     0    32 4861  667 17  0 83  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  50988 54341284 478344 6499620    0    0     0     0 4785  536 17  0 83  0  0	
 4  0  50988 54341284 478344 6499620    0    0     0    20 4802  558 17  0 83  0  0	
 5  0  50988 54341268 478344 6499624    0    0     0    40 5042 1034 17  0 83  0  0	
 4  0  50988 54341268 478344 6499624    0    0     0     0 4685  530 17  0 83  0  0	
 4  0  50988 54341268 478344 6499624    0    0     0    44 4724  561 17  0 83  0  0	
 4  0  50988 54341144 478344 6499624    0    0     0     0 4910  610 17  0 83  0  0	
 5  0  50988 54341144 478344 6499624    0    0     0     0 5134  546 17  0 83  0  0	
 4  0  50988 54341020 478344 6499628    0    0     0   128 5151  599 17  0 83  0  0	
 5  0  50988 54341284 478344 6499632    0    0     0     0 5153  581 17  0 83  0  0	
 4  0  50988 54341284 478344 6499632    0    0     0    16 4428  544 17  0 83  0  0	
 5  0  50988 54341284 478344 6499632    0    0     0     0 4575  563 17  0 83  0  0	
 4  0  50988 54341284 478344 6499632    0    0     0     0 4570  664 17  0 83  0  0	
 5  0  50988 54341152 478344 6499632    0    0     0    40 5005  994 17  0 83  0  0	
 4  0  50988 54341144 478344 6499632    0    0     0     0 4472  535 17  0 83  0  0	
 5  0  50988 54341232 478344 6499632    0    0     0    16 4331  732 17  0 83  0  0	
 4  0  50988 54341232 478344 6499632    0    0     0    16 4310  545 17  0 83  0  0	
 5  0  50988 54341240 478344 6499632    0    0     0     0 4297  541 17  0 83  0  0	
 4  0  50988 54346172 478344 6499608    0    0     0    52 4929 7865 11  0 88  0  0	
 5  0  50988 54344360 478344 6499636    0    0     0     0 4403  692 17  0 83  0  0	
 4  0  50988 54343988 478344 6499640    0    0     0     0 4466  533 17  0 83  0  0	
 4  0  50988 54343740 478344 6499640    0    0     0    44 4837 1302 17  0 83  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  50988 54343740 478344 6499640    0    0     0    12 5020  538 17  0 83  0  0	
 5  0  50988 54343508 478344 6499640    0    0     0    80 5269  854 17  0 83  0  0	
 4  0  50988 54343384 478344 6499644    0    0     0     0 5153  784 17  0 83  0  0	
 4  0  50988 54343696 478344 6499644    0    0     0    20 4508  558 17  0 83  0  0	
 4  0  50988 54343696 478344 6499644    0    0     0     0 4812  554 17  0 83  0  0	
 4  0  50988 54342956 478344 6499644    0    0     0    20 5097  898 17  0 83  0  0	
 4  0  50988 54342724 478344 6499644    0    0     0    44 4716  573 17  0 83  0  0	
 4  0  50988 54341776 478344 6499652    0    0     0    48 4734  636 17  0 83  0  0	
 4  0  50988 54341528 478344 6499660    0    0     0    44 4486  720 17  0 83  0  0	
 4  0  50988 54341720 478344 6499660    0    0     0    16 4991  540 17  0 83  0  0	
 4  0  50988 54341472 478344 6499660    0    0     0    28 4436  677 17  0 83  0  0	
 4  0  50988 54341464 478344 6499660    0    0     0    32 4793 1005 17  0 83  0  0	
